,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.51,0.11,0.17,0.18,0.19,0.11,0.2,0.16,0.32,0.22,0.18,0.18,0.19,,0.25,0.14
f_1,0.29,1.52,0.15,0.15,0.16,0.12,0.21,0.17,0.2,0.22,,0.2,0.25,0.16,0.12,0.17
d_1,0.16,0.18,1.53,0.15,0.16,0.12,0.17,0.13,,0.35,0.2,0.22,0.21,0.19,0.21,0.17
c_1,0.15,0.2,0.18,1.53,0.22,0.17,0.17,0.18,0.21,,0.2,0.19,0.21,0.16,0.2,0.18
b_1,0.18,0.19,0.19,0.16,1.57,0.19,0.19,0.19,0.18,0.22,0.18,,0.28,0.18,0.16,
a_1,0.23,0.17,0.17,0.15,0.16,1.73,0.24,0.18,0.22,0.25,0.2,0.23,0.18,,0.23,
h_1,0.44,0.53,0.39,0.38,0.33,0.33,1.65,0.43,0.46,0.48,0.44,0.46,,0.33,0.53,0.3
g_1,0.3,0.33,0.66,0.41,0.35,0.31,0.56,1.71,0.43,0.37,0.5,0.55,0.46,0.38,,0.39
d_0,0.4,0.48,,0.78,0.53,0.37,0.55,0.6,1.39,0.47,0.54,0.45,0.72,,0.54,0.41
c_0,0.47,0.48,0.36,,0.4,0.33,0.48,0.49,0.64,1.4,0.67,1.02,0.58,0.44,0.56,0.52
f_0,0.49,,0.51,0.46,0.58,0.37,0.41,0.56,0.62,0.5,1.49,0.33,0.53,0.9,0.44,0.52
b_0,0.52,0.46,0.41,0.43,,0.41,0.55,0.45,0.59,0.4,0.8,1.48,0.7,0.47,0.62,0.75
h_0,0.71,0.63,0.53,0.68,0.44,0.49,,0.91,0.57,0.74,0.68,0.63,,0.51,1.05,0.53
e_0,,0.49,0.43,0.52,0.48,,0.68,0.68,,0.62,0.37,0.56,0.75,1.66,0.53,0.49
g_0,0.41,0.8,0.83,0.56,0.58,0.64,0.79,,0.77,0.78,0.97,0.4,0.63,0.59,,
a_0,0.46,0.6,0.49,0.43,,,0.65,0.58,0.68,0.55,0.49,0.44,0.8,0.55,,1.6
