,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,101.5,10.28,12.46,19.46,29.68,39.21,2169.26,3714.97,7550.26,4186.18,6980.2,8030.72,24217.61,,37013.18,29496.46
f_1,18.48,103.63,15.99,18.37,29.63,53.34,1889.96,3964.76,4778.58,5218.44,,7588.46,21239.92,17546.69,28200.12,21018.14
d_1,9.67,11.27,127.06,16.96,30.66,57.73,1770.18,2881.91,,6999.26,6122.34,8058.57,19831.1,20128.64,31923.54,17074.95
c_1,8.33,12.5,12.58,150.06,44.64,47.09,1875.92,2539.19,3973.15,,5780.67,5909.89,20841.13,17988.47,29379.58,23978.84
b_1,8.5,9.32,9.22,9.22,231.6,70.92,1546.67,2268.9,3497.97,3543.14,5374.61,,14667.19,19408.6,24334.17,
a_1,8.9,7.67,9.55,10.64,16.54,423.63,1216.64,2021.72,2362.77,2815.23,3759.78,3318.49,9656.45,,19176.29,
h_1,4.75,6.96,6.86,7.38,15.65,25.33,3103.87,2526.02,1784.02,2278.88,2975.09,3139.72,,8999.57,14016.42,15588.91
g_1,4.98,2.93,8.29,6.41,9.89,25.79,558.53,5471.07,1630.97,1681.29,3101.51,2444.51,5737.07,8072.89,,11217.03
d_0,3.86,5.2,,11.57,13.26,29.94,861.03,1401.23,4640.91,1585.54,3020.59,2743.33,7782.22,8369.99,14461.24,13373.84
c_0,4.87,4.4,5.63,,11.06,28.24,655.06,1618.92,1890.45,4742.18,3238.57,4926.88,7324.45,9058.84,13879.27,12585.28
f_0,4.49,,4.65,7.33,11.12,22.51,702.64,1049.62,1875.09,1521.38,6746.71,2610.64,5395.86,11429.94,12859.13,11479.78
b_0,3.95,3.52,4.42,7.06,,22.86,713.77,1580.19,1778.52,1274.02,2127.91,7078.53,5798.94,9661.66,13066.74,15799.36
h_0,3.6,4.63,4.64,6.05,9.75,26.35,,1467.13,1482.75,1575.42,2214.51,2414.35,,7522.19,13740.18,9199.33
e_0,,3.25,3.95,5.13,5.77,,513.5,991.75,1189.44,1045.35,1926.39,1290.86,4957.15,17759.73,6942.24,
g_0,2.5,2.9,5.95,4.81,9.38,15.03,531.12,,1255.93,1420.64,2178.23,1353.0,4950.18,8131.85,,6532.33
a_0,2.33,3.06,4.81,4.2,,,335.87,798.06,974.73,957.49,1477.61,1524.39,3864.02,,8953.86,22320.28
