,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.7,0.91,0.81,0.9,0.64,0.36,0.39,0.45,0.33,0.37,0.41,0.21,0.36,0.27,0.32
d_1,0.9,0.4,0.83,0.78,0.71,0.75,0.48,0.49,0.33,0.48,0.37,0.37,0.32,0.38,0.37,0.23
e_1,0.52,0.88,0.4,0.95,0.83,0.82,0.44,0.47,0.51,0.33,0.39,0.48,0.35,0.38,0.57,0.36
c_1,0.83,1.0,0.67,0.39,1.01,0.87,0.37,0.22,0.41,0.46,0.32,0.34,0.32,0.35,0.33,0.3
b_1,0.82,0.87,0.87,0.52,0.36,0.88,0.54,0.4,0.44,0.45,0.54,0.34,0.35,0.36,0.45,0.34
a_1,1.27,0.83,0.8,0.77,0.5,0.31,0.47,0.4,0.55,0.37,0.41,0.36,0.36,0.54,0.4,0.28
h_1,0.74,0.67,0.74,0.87,0.66,0.69,0.24,0.32,0.41,0.29,0.31,0.33,0.32,0.27,0.3,0.33
d_0,0.74,0.96,0.43,0.85,0.83,0.77,0.45,0.25,0.39,0.29,0.32,0.33,0.27,0.3,0.34,0.28
g_1,0.74,0.77,0.73,0.77,0.73,0.66,0.31,0.35,0.22,0.34,0.32,0.37,0.22,0.36,0.3,0.4
c_0,0.78,0.43,0.74,1.2,0.74,0.7,0.44,0.47,0.4,0.24,0.43,0.3,0.31,0.3,0.3,0.29
b_0,0.71,0.73,0.64,0.86,0.98,0.7,0.38,0.29,0.36,0.19,0.23,0.32,0.3,0.38,0.34,0.27
f_0,1.11,0.67,0.64,0.8,0.7,0.7,0.36,0.3,0.3,0.31,0.3,0.22,0.28,0.29,0.4,0.19
h_0,0.83,0.66,0.68,0.74,0.65,0.63,0.49,0.37,0.42,0.3,0.27,0.33,0.34,0.27,0.27,0.34
a_0,0.78,0.61,0.68,0.74,0.99,0.89,0.44,0.34,0.34,0.36,0.19,0.33,0.31,0.2,0.28,0.27
e_0,1.17,0.66,0.78,0.78,0.77,0.6,0.38,0.32,0.36,0.34,0.28,0.18,0.27,0.35,0.19,0.24
g_0,0.78,0.79,0.64,0.72,0.66,0.77,0.3,0.33,0.39,0.31,0.3,0.34,0.21,0.28,0.34,0.33
