,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.08,1.43,2.32,2.33,2.52,2.0,0.69,0.53,0.72,0.52,0.47,0.63,0.31,0.48,0.61,0.37
f_1,2.18,1.09,2.33,2.48,2.14,2.17,0.51,0.48,0.72,0.48,0.46,0.64,0.27,0.42,0.4,0.36
d_1,2.53,2.93,1.08,2.52,2.3,2.26,0.66,0.53,0.45,0.69,0.45,0.48,0.33,0.48,0.52,0.25
c_1,2.35,2.95,3.72,1.1,2.62,2.76,0.89,0.83,0.95,0.37,0.65,0.56,0.44,0.55,0.61,0.39
b_1,3.57,3.77,3.69,1.94,1.11,3.29,0.99,0.88,0.85,0.65,0.91,0.67,0.49,0.71,0.71,0.53
a_1,4.58,4.32,4.14,3.85,2.09,1.13,1.31,1.02,1.13,0.94,1.41,0.91,0.67,1.68,0.82,0.65
h_1,9.21,9.68,9.06,10.03,9.0,7.23,1.53,1.83,2.76,2.04,1.85,1.87,1.9,1.82,1.69,1.39
c_0,11.95,13.17,7.07,15.65,12.02,10.25,3.32,1.71,2.83,2.9,2.34,2.13,1.68,2.2,2.15,1.54
g_1,12.83,13.32,11.55,11.69,11.21,9.16,2.81,2.2,1.59,2.29,2.34,2.34,1.39,2.45,2.21,2.01
d_0,8.42,11.84,15.3,13.23,13.36,11.84,3.78,2.78,3.98,1.94,2.74,2.33,1.72,2.54,2.79,1.83
b_0,13.41,12.66,11.0,14.48,16.53,12.05,3.92,1.7,3.51,2.45,1.8,2.46,1.72,2.97,2.46,1.6
f_0,13.51,19.58,13.39,13.99,13.22,10.51,3.54,2.78,2.87,2.82,2.78,1.84,2.23,2.97,2.72,1.48
h_0,17.3,17.25,15.72,17.64,16.64,15.26,6.33,3.5,5.32,3.56,3.99,3.8,3.16,3.29,3.08,2.56
a_0,18.2,20.35,14.84,21.4,21.84,20.6,4.92,3.08,4.68,3.6,2.1,3.25,2.49,1.98,3.18,2.37
e_0,22.62,28.52,17.74,20.79,19.03,14.61,4.98,3.98,5.5,3.83,4.04,2.17,2.95,3.85,2.05,2.41
g_0,20.23,23.07,19.02,21.56,20.26,20.4,4.49,4.12,8.05,3.93,4.59,4.34,2.66,4.35,3.91,3.84
