,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.67,1.26,2.32,1.92,2.1,1.57,1.1,1.09,0.99,0.87,0.85,0.84,0.7,0.69,1.64,0.63
f_1,2.42,0.66,2.1,2.46,1.73,1.99,0.73,0.85,0.7,0.69,1.59,0.71,0.6,0.42,0.57,0.67
d_1,1.96,2.35,0.66,2.0,2.22,2.17,0.99,0.75,0.78,1.9,0.63,0.72,0.65,0.56,0.84,0.37
c_1,2.19,1.98,2.69,0.64,2.56,2.37,1.02,0.73,0.95,0.52,0.77,0.71,0.79,0.7,0.74,0.63
b_1,2.27,2.68,2.12,1.39,0.62,2.57,1.21,0.98,0.96,0.86,0.97,2.3,0.95,0.7,0.64,0.79
a_1,2.72,2.75,2.26,2.65,1.73,0.57,1.21,1.26,0.99,1.35,0.96,1.01,2.27,0.78,1.19,0.79
h_1,2.38,3.1,2.52,2.43,2.31,2.42,0.6,1.83,0.9,0.97,0.89,0.87,1.03,1.4,0.83,1.03
g_1,2.53,3.33,2.93,3.07,2.71,2.51,0.93,0.58,1.01,0.85,1.09,1.01,0.99,0.69,0.89,1.58
c_0,2.51,3.52,1.87,,2.91,2.63,1.37,1.32,0.67,1.11,1.04,1.4,1.2,0.9,1.07,0.97
d_0,1.95,3.15,4.24,3.47,2.95,2.45,1.33,1.78,1.16,0.66,0.84,1.04,1.08,1.07,0.96,0.97
f_0,3.05,6.42,2.9,2.92,2.79,2.65,1.43,1.11,1.0,1.28,0.62,0.86,1.09,0.99,1.29,0.66
b_0,3.22,3.31,2.75,3.68,4.67,3.02,1.24,1.38,0.6,1.04,1.19,0.63,1.4,0.89,0.82,0.91
a_0,3.67,3.71,3.46,3.45,4.0,3.77,1.3,1.5,0.99,1.11,1.3,0.68,0.59,1.1,1.07,0.87
h_0,3.16,3.91,4.31,3.8,2.72,2.73,2.21,1.51,1.27,1.02,1.16,1.22,1.15,1.52,1.01,1.05
e_0,6.38,4.69,2.74,3.64,4.07,2.64,1.45,2.3,1.26,1.5,0.67,1.39,1.12,1.24,0.58,0.81
g_0,3.64,3.92,4.45,3.71,3.46,3.25,1.13,2.02,1.07,1.41,1.4,1.2,1.24,0.96,1.26,1.53
