,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,7708.14,4262.76,5423.93,9723.29,9349.75,62518.78,7234731.55,25902262.88,16078370.56,17716269.93,38396186.45,51160892.67,184040640.98,194376375.4,300808129.15,705208038.67
f_1,4891.36,11006.3,5542.14,7323.75,10714.3,50649.77,6051313.73,14587689.62,13358938.09,19718038.12,41660076.79,27797217.52,172755507.01,170199421.58,334855673.26,539718765.36
d_1,2949.76,4247.3,19610.11,5934.04,8977.06,49291.28,7460587.89,9639379.53,16957046.91,39199797.0,49053852.8,57036559.9,197378321.44,307949402.03,373769719.86,682666666.67
c_1,2462.93,4096.12,6431.64,23178.99,19699.75,59986.47,6769578.48,11757376.95,14973837.79,10265187.38,27742597.12,48385872.23,164927458.48,212864643.85,265259797.49,628712579.42
b_1,2931.18,3836.44,6268.29,7386.9,35077.56,124378.03,6913429.46,14829953.96,15456536.01,17562020.1,23945193.16,54075622.83,202704778.08,218974600.05,218963787.01,654454181.06
a_1,2791.48,4648.33,7324.7,7899.68,9858.48,302020.21,7714677.43,14855789.1,16167963.6,23284936.24,37994760.83,57114226.23,174312655.63,237338246.44,177646602.79,746789350.37
h_1,3213.19,5793.91,7110.2,8260.21,11292.06,58531.82,15486253.23,14720448.95,22073204.67,21520614.81,41351181.7,44680781.21,142186304.98,285218094.19,291626153.89,926771717.17
d_0,3024.31,4527.18,4952.83,14744.52,11426.43,62244.32,7628663.0,25603016.67,15694083.49,16766011.14,36228533.73,61479210.48,190722297.46,257070805.18,349041068.91,731343768.12
g_1,3007.07,3767.22,11578.5,6897.57,10504.54,60679.72,6645184.82,13318795.22,41524107.87,24354837.24,46043474.9,88803084.87,203712670.66,300395511.01,381982340.17,603621052.63
c_0,3740.46,5109.97,8360.43,6246.4,9142.22,55289.39,8490612.69,14912483.42,19616998.6,39351280.32,80227804.49,63688960.57,211365761.55,331861645.12,484971997.65,722444094.49
b_0,4133.45,4997.13,8597.37,7914.19,6133.37,52058.89,8130282.94,17309705.22,18016024.54,26502491.07,79106608.47,59145143.42,227365821.63,330776420.65,821937098.34,685149090.91
f_0,3014.29,4114.23,8680.84,7601.84,12262.59,65524.88,9972846.37,16805539.04,19652709.16,24260255.34,44238258.71,104136424.13,205950233.39,615254847.14,275988545.34,827153398.06
h_0,3257.9,6141.53,8202.8,8087.71,10137.88,56810.29,5616572.27,15740567.4,23250494.06,22354681.52,43183800.76,61585392.19,136004291.72,285634227.97,386233969.7,1028946859.9
e_0,2447.9,6261.35,7123.53,8462.77,10086.44,62329.01,9344847.66,17164245.51,16784316.74,26222041.42,41587474.16,65938842.33,216992362.31,697386953.53,355335252.12,814518857.14
a_0,3372.69,5506.76,8545.58,7990.64,9333.67,28747.38,8158270.15,17174760.67,21105261.11,25553016.98,47654583.41,62231437.54,201148403.99,351615999.36,802715177.99,750110843.37
g_0,2912.44,4156.94,11033.29,9100.54,12552.02,63627.53,7580520.95,11539803.48,14155447.85,24165410.72,40080681.62,88651110.24,168044372.53,282997604.33,309273275.0,633514666.67
