,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.67,2.34,1.92,2.06,1.87,1.59,0.68,0.89,0.86,0.72,1.47,0.79,0.44,0.62,0.57,0.67
e_1,1.36,0.67,2.14,2.07,1.96,2.03,0.99,0.98,0.93,0.74,0.92,0.88,0.65,0.75,1.63,0.57
d_1,2.15,2.23,0.66,2.07,1.92,1.73,0.94,0.74,1.95,0.81,0.67,0.63,0.61,0.63,0.76,0.39
c_1,2.27,2.17,2.3,0.64,2.57,2.02,0.94,1.04,0.47,1.33,0.77,0.68,0.63,0.74,0.68,0.65
b_1,2.75,2.15,2.64,1.36,0.62,2.52,1.15,1.08,0.86,0.85,0.77,1.94,0.78,0.67,0.81,0.61
a_1,2.8,3.29,2.99,3.05,1.54,0.57,1.17,0.94,0.79,1.24,1.12,1.15,0.87,1.92,0.95,0.75
h_1,2.87,3.01,2.68,2.91,2.13,2.26,0.6,1.28,1.01,0.86,0.81,0.98,1.21,1.02,0.78,0.76
g_1,3.07,2.58,2.84,2.68,2.8,2.86,1.06,0.58,1.02,1.1,1.07,1.0,0.63,1.38,1.03,1.06
d_0,3.46,1.72,4.19,3.79,2.27,3.98,1.26,1.57,0.67,1.17,1.08,0.98,0.78,1.11,0.74,1.24
c_0,3.15,2.61,1.84,10.83,3.95,2.42,1.67,1.41,1.19,0.65,0.9,1.44,0.93,1.29,1.07,0.87
f_0,5.03,2.67,2.85,2.92,3.55,3.04,1.61,1.11,1.02,1.2,0.63,1.0,1.13,0.98,1.2,0.8
b_0,2.77,2.71,3.03,4.18,6.21,2.78,1.46,1.36,1.11,0.61,1.24,0.62,0.88,1.54,0.98,0.82
h_0,4.39,3.15,3.15,3.88,3.09,2.71,2.51,1.82,1.52,1.22,1.02,1.14,1.54,1.14,1.02,1.33
a_0,3.46,3.3,3.39,3.47,6.04,,1.63,1.18,1.18,0.93,1.48,0.7,1.01,0.59,1.28,1.17
e_0,4.3,5.37,2.95,3.27,3.35,3.22,1.69,1.43,1.69,1.15,0.79,1.35,1.34,1.02,0.6,0.87
g_0,4.08,3.77,4.16,3.89,4.35,3.73,1.54,3.08,1.32,1.22,1.09,1.22,0.81,1.12,1.66,
