,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.76,4.54,2.8,2.52,2.63,2.17,10.59,14.66,9.3,13.51,13.58,10.84,18.6,14.09,12.1,21.56
e_1,3.09,6.15,3.55,2.48,2.64,2.64,10.45,21.8,10.61,12.53,13.36,15.3,20.44,12.98,13.37,20.8
c_1,2.73,2.67,6.62,2.77,4.93,3.0,9.72,12.3,10.0,8.3,10.37,12.65,20.36,13.07,11.16,19.95
d_1,2.81,2.82,2.35,7.0,2.73,2.89,10.81,9.86,11.99,22.48,16.66,12.81,22.43,15.2,13.86,20.86
b_1,2.75,2.46,2.79,2.97,7.76,5.76,10.88,11.68,10.46,12.05,9.72,14.7,21.02,10.75,14.98,21.34
a_1,2.9,2.52,3.03,3.15,2.67,10.9,12.12,13.01,11.87,12.39,13.49,14.25,20.33,10.22,18.09,21.29
h_1,3.72,2.95,3.05,3.21,2.96,2.62,17.92,13.44,12.79,13.81,15.83,13.71,18.02,14.91,18.49,28.09
d_0,2.89,2.56,5.09,2.38,3.22,2.88,9.52,19.34,11.91,10.56,15.74,14.38,23.18,16.67,17.93,20.1
g_1,2.76,2.7,3.1,4.24,3.27,2.86,11.23,11.1,23.25,13.78,13.78,20.36,22.23,16.21,18.61,17.32
c_0,3.09,3.06,2.71,3.32,2.6,2.5,11.81,14.78,12.8,20.98,27.5,16.19,25.68,23.89,18.1,22.75
b_0,3.23,3.14,3.39,3.0,2.43,2.09,12.14,14.91,11.6,13.58,22.88,16.74,25.31,29.63,18.17,22.04
f_0,2.67,2.55,3.3,3.22,3.53,3.24,12.07,15.28,12.97,13.54,15.18,25.51,27.2,18.66,35.13,21.07
h_0,3.96,3.25,2.61,3.25,2.83,2.7,9.35,13.1,14.76,12.02,14.19,14.72,15.5,12.48,17.78,25.44
a_0,3.25,3.29,3.39,3.16,3.06,2.36,11.61,14.9,11.67,14.92,12.67,14.18,24.83,28.98,16.82,23.11
e_0,2.84,2.32,3.26,3.83,3.42,3.07,11.82,11.27,14.66,15.48,16.75,12.46,24.51,16.32,29.71,23.52
g_0,2.75,2.68,3.0,4.55,3.25,2.83,10.46,12.87,8.77,13.81,14.45,21.65,22.28,12.84,20.56,17.65
