,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,2.05,1.41,2.39,2.07,1.59,0.89,0.74,0.81,0.66,0.6,0.66,0.48,0.56,0.88,0.55
d_1,2.7,1.05,2.21,2.05,1.89,1.69,0.74,1.04,0.55,0.63,0.59,0.59,0.42,0.5,0.5,0.34
f_1,2.48,1.99,1.06,2.03,1.9,1.68,0.62,0.64,0.91,0.58,0.62,0.87,0.44,0.55,0.48,0.44
c_1,1.78,2.61,2.36,1.06,2.83,1.76,0.89,0.44,0.77,0.92,0.55,0.63,0.44,0.51,0.61,0.54
b_1,2.54,2.65,2.55,1.47,1.07,3.01,0.99,0.84,1.05,0.92,1.07,0.75,0.72,0.6,0.71,0.55
a_1,4.06,3.65,3.76,3.53,1.63,1.07,1.34,1.05,1.3,1.18,1.27,0.93,0.76,1.61,0.89,0.78
h_1,4.88,5.47,6.52,5.07,5.01,4.27,1.31,1.56,2.04,1.59,1.53,1.32,1.51,1.29,1.19,1.16
d_0,4.04,7.76,6.29,7.41,6.63,6.3,2.81,1.47,2.46,1.61,1.79,1.72,1.55,1.66,1.43,1.44
g_1,6.95,6.93,5.82,6.59,5.48,4.85,2.12,1.94,1.31,1.83,1.82,1.89,1.08,1.42,1.53,1.72
c_0,6.56,4.34,7.68,10.52,6.04,5.06,2.9,3.04,2.55,1.45,2.35,1.91,1.72,1.73,1.59,1.27
b_0,7.4,6.4,7.44,10.04,11.52,6.27,2.62,2.15,2.67,1.39,1.51,1.92,1.96,2.34,1.68,1.59
f_0,7.37,6.99,11.38,7.92,7.22,6.56,3.33,2.77,1.75,2.27,2.03,1.5,1.67,2.11,2.47,1.32
h_0,8.82,8.98,9.45,10.45,8.56,7.29,4.68,2.8,4.18,2.37,2.2,2.72,2.59,2.03,1.89,2.15
a_0,8.84,10.42,8.86,9.96,14.24,9.93,3.58,2.93,4.34,2.78,1.64,2.77,2.36,1.63,2.26,1.92
e_0,10.08,10.21,14.08,10.67,10.01,7.72,4.57,3.34,3.51,2.93,2.93,1.59,2.7,2.62,1.57,2.13
g_0,10.06,9.92,11.25,10.52,10.03,8.51,3.56,3.33,4.31,3.4,3.24,3.29,1.8,3.07,2.27,2.92
