,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.33,0.59,0.37,0.71,0.56,0.49,0.77,2.11,0.88,0.89,1.04,1.07,1.2,1.17,0.38,0.84
f_1,1.1,16.39,0.48,0.54,0.38,0.47,1.05,0.77,0.95,0.69,1.0,0.34,0.79,0.88,0.76,1.06
d_1,0.53,0.56,21.68,0.33,0.55,0.56,0.87,0.22,2.13,0.93,0.93,1.0,0.95,1.03,0.88,0.98
c_1,0.48,0.42,0.51,21.71,1.34,0.47,0.65,0.82,0.16,0.7,0.77,0.84,0.91,0.67,1.03,0.85
b_1,0.36,0.56,0.52,0.62,23.38,1.13,0.78,0.98,0.82,1.11,0.44,0.91,0.92,0.75,1.02,0.8
a_1,0.53,0.69,0.57,0.56,0.41,31.44,1.01,1.0,0.7,0.55,0.88,0.83,0.91,0.32,1.18,1.05
h_1,0.57,1.04,0.83,0.56,0.57,0.52,5.58,0.96,1.22,1.46,1.33,1.14,0.59,1.21,0.83,1.49
d_0,0.67,0.72,0.35,1.67,0.74,0.64,0.87,2.81,0.72,1.03,1.0,1.17,1.5,1.06,1.05,1.11
c_0,0.69,0.87,0.93,0.31,0.46,0.87,1.47,0.79,3.19,1.08,2.51,1.31,1.23,1.29,1.36,1.31
g_1,0.42,0.49,1.8,0.62,0.47,0.71,1.12,0.85,1.05,7.39,1.02,2.23,1.11,0.87,1.51,0.64
b_0,0.68,0.73,0.81,0.64,0.28,0.64,1.27,1.21,1.29,1.15,3.45,1.41,1.38,2.72,1.43,1.4
f_0,0.46,0.32,0.94,0.9,0.6,0.81,1.27,1.22,1.32,1.47,1.37,4.15,1.7,1.45,3.42,1.5
h_0,0.63,1.11,0.7,0.79,0.65,0.65,0.78,1.32,1.28,1.81,1.08,1.34,0.64,1.05,1.33,1.5
a_0,0.66,0.89,0.86,0.73,0.53,0.19,1.44,1.02,1.16,1.47,1.04,1.65,1.31,5.06,1.21,1.54
e_0,0.19,0.68,0.99,0.65,0.88,0.8,1.5,1.09,1.22,1.37,1.7,1.65,1.59,1.36,5.67,1.51
g_0,0.54,0.48,1.38,0.64,0.76,0.55,1.1,0.81,1.25,0.72,1.25,2.28,1.07,1.7,1.4,0.75
