,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,16.73,0.6,0.73,0.4,0.46,0.46,0.85,2.18,0.94,0.9,1.03,0.93,0.92,1.15,1.02,0.44
f_1,1.1,18.29,0.49,0.5,0.47,0.55,0.78,0.69,0.58,0.88,0.29,0.83,0.8,0.73,0.74,0.66
c_1,0.48,0.47,19.24,0.54,1.11,0.5,0.74,0.87,0.76,0.25,0.97,0.68,1.06,0.86,0.97,0.95
d_1,0.44,0.67,0.39,22.02,0.47,0.47,0.98,0.39,0.97,2.16,0.97,1.2,1.14,0.82,1.23,0.95
b_1,0.47,0.44,0.48,0.52,21.28,1.47,0.85,0.67,0.93,0.75,1.05,0.41,1.02,0.77,0.76,0.88
a_1,0.42,0.52,0.57,0.74,0.58,29.08,0.8,0.79,0.94,0.82,1.11,1.0,0.91,0.36,0.85,1.34
h_1,0.51,0.96,0.74,0.83,0.59,0.62,5.3,0.97,1.62,1.06,1.15,1.1,0.54,1.28,1.49,1.26
d_0,0.73,0.64,2.12,0.23,0.69,0.49,1.11,3.04,0.91,0.69,1.05,1.1,1.22,1.28,1.12,1.35
g_1,0.55,0.61,0.72,1.25,0.54,0.63,1.19,1.01,6.59,1.0,1.87,0.97,1.21,1.18,0.55,0.91
c_0,0.78,0.75,0.33,0.86,0.57,0.51,1.42,1.19,1.25,3.64,1.39,3.04,1.25,1.37,1.41,1.35
f_0,0.59,0.44,0.81,0.83,0.74,0.53,1.52,1.17,1.28,1.21,3.54,1.44,1.36,1.35,1.44,3.25
b_0,0.72,0.88,0.64,0.65,0.35,0.39,1.5,1.56,1.15,1.33,1.24,4.8,1.34,3.47,1.18,1.41
h_0,0.6,1.17,0.56,0.82,0.69,0.59,0.75,0.99,1.58,1.3,0.97,1.26,0.67,1.24,1.85,1.25
a_0,0.82,0.8,0.85,0.64,0.64,0.29,1.26,1.4,0.85,1.02,1.25,1.56,1.22,5.65,1.33,1.51
g_0,0.63,0.56,0.59,1.44,0.73,0.52,1.21,1.08,0.62,1.42,2.23,1.33,1.13,1.25,0.97,1.52
e_0,0.33,0.67,0.84,0.89,0.83,0.44,1.48,1.19,1.34,1.44,1.06,1.33,1.52,1.56,1.42,5.38
