,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.47,0.42,0.4,0.54,0.44,0.37,0.52,0.97,0.5,0.48,0.49,0.5,0.6,0.34,0.46,0.55
f_1,0.74,1.5,0.43,0.47,0.47,0.34,0.47,0.49,0.43,0.48,0.55,0.19,0.52,0.38,0.45,0.47
d_1,0.5,0.49,1.55,0.38,0.44,0.32,0.56,0.3,0.44,0.91,0.61,0.6,0.59,0.53,0.41,0.4
c_1,0.42,0.47,0.53,1.55,0.71,0.43,0.57,0.38,0.5,0.21,0.51,0.57,0.58,0.37,0.46,0.56
b_1,0.54,0.45,0.47,0.38,1.59,0.7,0.53,0.6,0.52,0.41,0.22,0.62,0.77,0.42,0.37,0.54
a_1,0.49,0.62,0.58,0.46,0.33,1.76,0.57,0.7,0.46,0.83,0.63,0.52,0.68,0.55,,0.72
h_1,0.69,1.05,0.76,0.75,0.72,0.52,1.69,0.94,0.95,0.77,0.82,0.63,0.42,0.56,0.61,0.83
d_0,0.69,0.85,0.36,1.36,0.74,0.48,0.81,1.49,0.83,0.84,0.76,0.94,0.77,0.62,0.74,0.77
g_1,0.73,0.72,1.08,0.73,0.7,0.6,0.66,0.79,1.78,0.81,0.78,1.17,0.83,0.84,0.82,0.41
c_0,0.86,0.99,0.81,0.61,0.64,0.44,1.02,0.8,0.84,1.54,1.43,0.84,0.93,0.85,0.8,0.94
b_0,1.04,0.88,0.83,0.73,0.32,0.45,0.89,0.93,0.88,0.85,1.57,0.87,1.01,0.88,1.35,0.89
f_0,0.96,0.7,0.73,0.71,0.7,0.69,1.06,0.93,0.91,1.07,1.03,1.6,1.03,1.33,0.59,0.92
h_0,0.87,1.1,0.88,0.77,0.54,0.54,0.71,1.02,1.07,0.93,0.95,0.83,0.69,0.88,0.65,1.26
e_0,0.39,1.23,0.8,1.08,0.74,0.54,1.24,1.05,0.82,1.1,0.9,0.91,0.98,1.72,0.75,0.9
a_0,0.82,1.04,0.99,0.93,0.58,,1.08,0.94,1.08,0.88,0.87,0.83,1.1,1.07,1.72,1.0
g_0,0.69,0.84,1.18,1.02,0.81,0.47,0.92,0.94,,0.96,0.77,1.2,0.84,0.81,0.66,0.57
