,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.73,1.15,0.79,0.84,0.51,0.45,0.44,0.51,0.46,0.44,0.38,0.3,,0.28
d_1,1.15,1.0,0.95,0.9,1.04,0.87,0.52,0.33,0.57,,0.39,0.33,0.45,0.28,0.38,0.22
f_1,1.36,1.05,1.0,0.78,0.95,0.71,0.49,0.5,0.43,0.45,,0.37,0.28,0.35,0.28,0.36
c_1,0.87,1.11,1.28,1.0,1.67,0.79,0.47,0.48,,0.31,0.47,0.28,0.39,0.39,0.38,0.35
b_1,1.27,0.96,1.06,0.6,1.0,1.18,0.61,0.43,0.44,0.44,0.42,,0.42,0.43,,0.38
a_1,1.19,1.15,1.42,1.27,0.85,1.0,0.6,0.69,0.54,0.65,,0.62,0.47,,0.39,0.48
h_1,1.96,1.92,2.04,2.12,1.65,1.67,1.0,0.91,0.81,0.72,0.79,0.85,,0.57,0.48,0.86
g_1,2.22,3.02,2.01,2.09,2.3,1.44,1.1,1.0,0.91,1.14,0.94,0.92,0.45,0.75,0.65,
c_0,2.26,1.76,2.33,,2.27,1.85,1.23,1.1,1.0,1.27,0.87,1.13,0.57,0.9,0.86,0.81
d_0,1.96,,2.24,3.22,2.27,1.55,1.39,0.87,0.78,1.0,1.05,1.06,0.82,0.77,0.59,0.68
f_0,2.19,2.59,,2.11,2.37,,1.27,1.07,1.14,0.95,1.0,1.0,1.03,,1.39,0.67
b_0,2.27,2.99,2.7,3.53,,1.6,1.17,1.08,0.89,0.94,1.0,1.0,1.27,1.47,0.72,0.61
h_0,2.65,2.21,3.59,2.58,2.36,2.11,,2.2,1.76,1.23,0.97,0.78,,0.84,0.91,1.14
a_0,3.28,3.53,2.82,2.59,2.34,,1.77,1.34,1.11,1.31,,0.68,1.19,1.0,,1.14
e_0,,2.66,3.61,2.64,,2.56,2.08,1.55,1.16,1.7,0.72,1.39,1.09,,1.0,0.95
g_0,3.57,4.55,2.8,2.85,2.61,2.07,1.16,,1.24,1.46,1.5,1.63,0.88,0.88,1.05,
