,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,4.42,3.82,3.47,3.7,5.04,1.31,1.42,1.97,1.25,1.36,,1.22,1.51,1.58,1.73
e_1,2.27,0.41,3.69,3.51,3.46,4.12,2.25,1.35,2.07,1.65,1.45,1.68,1.68,1.32,,2.12
d_1,4.06,4.54,0.4,2.8,4.02,3.45,1.82,1.79,1.17,,1.63,1.91,1.44,1.6,1.95,0.82
c_1,3.31,3.95,4.34,0.39,4.15,2.99,1.85,,1.8,0.94,1.82,1.43,1.59,1.38,1.44,1.42
b_1,3.32,3.66,4.19,2.34,0.38,,1.57,1.43,2.56,1.67,,1.42,1.46,1.88,1.48,1.41
a_1,2.69,3.71,4.03,4.48,,0.31,1.8,2.16,2.3,1.55,1.83,1.4,1.53,,,
h_1,2.06,1.47,1.87,1.91,1.93,1.39,0.26,0.81,0.9,0.89,1.3,0.85,,0.79,0.68,0.55
c_0,2.04,1.8,0.98,,1.76,1.24,0.99,0.29,0.67,0.69,0.89,0.83,0.57,0.69,0.81,0.54
g_1,1.71,1.91,2.56,2.04,1.36,1.36,1.12,1.05,0.23,0.79,0.83,0.84,0.52,1.04,,
d_0,2.08,1.15,,2.05,1.81,1.48,0.78,0.78,1.01,0.28,0.68,0.6,0.43,0.63,0.61,0.59
b_0,1.7,1.42,1.48,1.42,,1.71,0.65,0.5,1.06,0.79,0.26,0.86,0.54,0.91,0.65,1.02
f_0,,1.53,1.21,1.43,1.62,2.29,0.88,0.69,0.65,1.03,0.71,0.26,0.68,0.75,1.18,0.37
h_0,1.19,1.02,1.14,1.24,1.06,1.02,,0.64,0.82,0.6,0.57,0.6,,0.73,0.64,0.71
a_0,1.93,2.15,1.78,2.41,1.88,,1.18,0.62,0.59,0.81,0.43,0.75,0.55,0.22,0.73,0.55
e_0,1.86,,1.46,2.36,1.56,,1.0,0.61,,0.97,0.85,0.34,0.57,0.63,0.21,0.67
g_0,1.21,1.22,1.74,1.19,1.41,,0.58,0.75,,0.55,0.42,0.69,0.35,0.67,0.47,
