,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.04,1.14,0.85,0.94,0.79,0.6,0.6,0.61,0.71,0.66,0.54,0.51,0.49,0.47,0.58
c_1,0.96,1.0,0.83,1.36,1.22,0.82,0.6,0.5,0.5,0.66,0.44,0.5,0.53,0.56,0.52,0.59
e_1,0.88,1.22,1.0,1.0,0.81,0.84,0.8,0.95,0.65,0.67,0.66,0.68,0.54,0.67,0.5,0.64
b_1,1.19,0.73,1.0,1.0,1.02,1.24,0.8,0.64,0.74,0.78,0.63,0.63,0.56,0.57,0.63,0.57
d_1,1.08,0.82,1.23,0.98,1.0,0.84,0.67,0.77,0.91,0.53,0.7,0.75,0.72,0.68,0.58,0.46
a_1,1.27,1.22,1.19,0.81,1.18,1.0,0.91,0.74,0.69,0.8,0.84,0.72,0.8,0.64,0.71,0.7
h_1,1.73,1.66,1.23,1.26,1.47,1.1,1.0,0.95,0.92,1.27,0.93,0.83,0.83,0.99,0.71,0.86
d_0,1.62,2.01,1.07,1.58,1.39,1.33,1.04,1.0,0.8,0.97,0.72,0.83,0.81,0.82,0.93,0.79
c_0,1.63,1.89,1.49,1.31,1.13,1.37,1.14,1.26,1.0,0.99,1.31,0.94,1.07,0.95,0.91,0.89
g_1,1.36,1.54,1.5,1.25,1.91,1.21,0.8,0.98,1.02,1.0,0.95,1.13,0.94,0.8,0.82,0.94
b_0,1.49,2.23,1.51,1.49,1.44,1.24,1.04,1.36,0.77,1.05,1.0,0.88,1.34,0.94,0.89,1.05
f_0,1.98,2.0,1.56,1.47,1.35,1.45,1.24,1.18,1.01,0.83,1.1,1.0,0.9,1.06,1.23,0.72
a_0,1.98,1.98,1.73,1.85,1.45,1.34,1.24,1.23,0.93,1.15,0.72,1.09,1.0,1.19,0.95,0.89
h_0,2.01,1.79,1.53,1.74,1.52,1.55,1.04,1.19,1.05,1.25,1.08,0.94,0.89,1.0,1.03,0.96
e_0,2.15,1.66,2.12,1.58,1.71,1.41,1.5,1.08,1.08,1.15,1.01,0.82,1.0,0.99,1.0,0.96
g_0,1.61,1.73,1.57,1.7,2.14,1.54,1.2,1.23,1.1,1.05,0.91,1.4,1.07,1.05,1.06,1.0
