,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.15,0.92,0.96,0.81,0.7,0.91,0.64,0.7,0.7,0.72,0.6,0.63,0.68,0.6
f_1,1.29,1.0,1.04,0.79,0.91,0.81,0.61,0.72,0.63,0.63,0.62,0.57,0.56,0.51,0.45,0.61
c_1,0.87,0.97,1.0,1.12,1.3,0.85,0.79,0.49,0.59,0.68,0.58,0.61,0.52,0.56,0.52,0.53
d_1,1.08,1.25,0.9,1.0,0.93,0.77,0.68,0.7,0.85,0.59,0.62,0.62,0.64,0.58,0.53,0.45
b_1,1.04,1.09,0.76,1.06,1.0,1.29,0.82,0.69,0.74,0.7,0.67,0.66,0.59,0.66,0.52,0.64
a_1,1.2,1.25,1.19,1.32,0.8,1.0,0.85,0.75,0.8,0.86,0.74,0.82,0.76,0.76,0.72,0.67
h_1,1.4,1.61,1.26,1.49,1.2,1.12,1.0,0.86,0.92,1.15,0.89,0.8,0.8,0.84,0.83,0.92
d_0,1.12,1.43,2.03,1.37,1.46,1.25,1.13,1.0,0.84,1.07,1.01,0.89,0.87,0.98,0.89,0.82
c_0,1.55,1.53,1.8,1.17,1.33,1.24,1.08,1.19,1.0,1.05,1.43,0.98,1.06,0.97,1.04,0.87
g_1,1.42,1.58,1.47,1.74,1.42,1.11,0.9,0.94,0.94,1.0,0.92,1.14,0.79,0.8,0.94,0.77
b_0,1.42,1.52,1.81,1.56,1.47,1.32,1.12,1.0,0.75,1.12,1.0,0.89,1.26,0.89,0.97,0.83
f_0,1.34,1.75,1.65,1.63,1.51,1.3,1.19,1.11,1.05,0.84,1.12,1.0,0.98,0.92,1.34,0.72
a_0,1.6,1.83,2.01,1.55,1.72,1.25,1.22,1.2,0.97,1.27,0.82,1.06,1.0,1.06,0.99,0.99
h_0,1.63,1.99,1.8,1.7,1.5,1.35,1.18,1.08,1.03,1.28,1.14,1.08,0.9,1.0,0.91,1.06
e_0,1.47,2.05,2.06,1.97,1.87,1.31,1.24,1.15,1.0,1.1,1.15,0.79,0.98,1.16,1.0,0.98
g_0,1.69,1.67,1.84,2.15,1.68,1.5,1.13,1.19,1.18,1.23,1.17,1.39,1.04,0.94,1.06,1.0
