,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.99,3.05,3.67,2.42,2.7,2.46,10.36,21.8,10.22,11.29,14.36,14.25,19.3,16.36,11.47,20.97
f_1,4.55,6.34,2.9,2.41,2.53,2.61,9.82,14.48,9.26,12.34,13.35,9.77,19.0,13.42,11.47,18.43
c_1,2.52,2.68,6.38,2.79,5.01,2.74,9.34,13.03,9.06,9.29,9.62,14.26,20.16,13.3,14.43,20.17
d_1,2.55,2.95,2.26,6.71,2.87,3.03,12.0,9.58,11.81,24.11,15.46,15.18,21.9,16.06,16.05,22.95
b_1,2.57,2.84,2.7,2.69,7.6,5.77,9.3,11.81,9.77,12.44,9.85,12.69,19.7,12.72,16.06,18.62
a_1,2.84,2.95,2.93,2.96,2.64,10.44,9.53,11.52,11.47,14.5,16.42,14.46,23.48,14.69,16.42,22.06
h_1,2.97,3.89,2.88,3.28,2.58,2.54,20.92,12.46,14.72,15.5,13.81,14.73,17.78,17.76,14.27,27.51
d_0,2.77,3.16,4.91,2.02,3.35,3.05,12.03,19.2,9.14,10.11,14.05,13.54,20.3,17.44,16.21,21.2
g_1,2.57,2.9,2.81,4.13,2.92,3.0,11.62,11.94,23.02,16.65,14.95,22.77,22.57,14.23,19.86,20.53
c_0,3.11,3.48,2.76,3.21,2.39,2.95,12.19,14.77,12.79,22.35,26.05,15.67,24.25,21.19,19.89,22.86
b_0,3.01,3.16,3.62,3.29,2.1,2.32,11.95,16.15,10.62,15.92,23.53,15.0,22.37,33.24,19.6,24.71
f_0,2.3,2.8,3.25,3.21,3.3,3.61,12.91,14.91,11.91,14.62,17.43,24.52,24.28,15.73,35.41,26.73
h_0,3.24,4.0,2.92,3.44,2.87,2.84,9.26,12.31,13.94,13.47,13.48,14.82,16.64,15.38,15.74,27.17
a_0,2.93,3.42,3.36,3.05,2.77,2.81,12.06,15.3,9.35,17.1,15.37,15.46,23.55,29.47,16.97,23.2
e_0,2.45,3.41,3.25,3.19,2.97,3.89,11.82,11.3,10.75,13.85,13.59,15.32,22.94,16.56,32.42,27.54
g_0,2.61,2.64,2.75,4.67,3.14,2.78,10.29,11.34,10.03,15.42,15.72,21.14,22.13,18.02,20.95,17.96
