,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.46,4.21,4.49,3.41,4.33,2.96,0.73,1.58,0.9,0.75,0.89,2.93,0.45,0.93,0.64,0.97
e_1,2.12,0.44,4.6,5.34,5.52,3.79,1.29,1.22,1.1,0.95,0.93,1.19,0.74,0.93,0.86,4.16
c_1,4.56,3.89,0.43,5.26,4.08,4.24,1.71,1.2,0.48,3.18,1.2,0.84,0.51,0.79,0.78,0.81
d_1,4.83,5.7,5.16,0.42,5.01,5.55,1.09,0.73,3.67,0.77,0.69,0.8,0.57,0.9,0.36,0.8
b_1,7.12,4.72,2.18,5.54,0.39,6.11,1.56,1.92,1.12,1.42,5.92,1.16,0.81,1.38,0.75,0.83
a_1,5.62,6.33,7.05,6.38,2.88,0.32,2.05,1.85,1.5,1.53,1.21,2.1,1.31,7.44,1.07,1.47
h_1,5.13,4.88,4.98,4.63,4.7,5.79,0.35,1.82,1.07,1.31,1.0,1.11,2.75,0.93,0.76,1.52
g_1,5.68,6.07,5.68,5.94,5.52,5.62,1.55,0.32,1.21,1.05,0.93,0.94,0.58,1.0,1.89,1.21
d_0,5.92,3.05,6.07,16.48,5.43,5.14,1.92,1.99,0.45,1.08,1.34,1.03,0.94,1.18,0.93,1.01
c_0,6.95,5.0,20.34,3.13,6.58,4.92,1.83,2.23,1.41,0.43,1.34,1.11,0.91,1.65,1.18,1.23
b_0,6.44,5.71,10.03,4.83,18.44,8.88,1.61,1.47,1.27,0.48,0.39,1.01,0.78,1.01,0.56,0.81
f_0,26.86,5.39,6.24,4.95,6.84,9.45,1.86,0.99,1.14,1.13,1.07,0.37,0.97,0.97,0.55,0.97
h_0,7.12,6.67,6.39,6.71,6.05,5.59,4.39,2.06,1.13,1.31,1.11,0.94,2.51,1.38,0.92,1.04
a_0,7.28,6.63,8.59,5.88,12.66,,2.09,1.74,1.17,1.13,0.71,1.03,0.94,0.35,0.9,1.82
g_0,8.38,8.46,9.71,5.47,6.6,10.66,1.98,6.35,1.57,1.13,1.37,1.42,1.05,1.42,2.45,1.34
e_0,13.08,15.42,7.71,8.52,7.4,10.79,2.23,1.89,1.25,1.25,1.11,0.67,1.07,1.33,1.01,0.3
