,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.46,38.76,30.8,27.47,40.59,23.24,4.97,13.05,6.47,6.14,6.77,,3.04,8.43,4.62,9.22
e_1,16.47,0.45,33.62,41.65,39.29,27.68,8.22,8.04,9.07,6.45,7.0,8.38,5.29,8.16,5.37,
c_1,36.01,32.9,0.43,35.72,32.22,34.98,10.85,8.32,3.99,,10.39,6.74,3.67,5.58,6.21,6.75
d_1,43.94,42.48,49.77,0.42,40.26,48.77,8.47,5.99,,6.7,5.21,7.07,4.39,5.66,2.96,5.93
b_1,49.83,33.7,16.38,39.01,0.39,41.94,9.76,14.49,7.93,9.4,,11.72,5.4,11.3,5.33,6.07
a_1,42.68,39.98,42.92,47.35,20.1,0.32,14.06,12.74,11.14,14.78,,,9.53,,,
h_1,17.15,16.46,17.28,16.47,16.78,17.07,0.37,5.99,3.2,4.66,3.21,3.82,,2.94,2.45,4.94
g_1,17.05,23.34,21.23,20.23,24.41,19.66,5.25,0.34,4.79,4.49,3.06,4.4,1.93,5.65,,3.64
d_0,15.0,7.75,14.64,,13.19,14.24,4.12,4.62,0.51,3.07,3.53,2.65,2.69,3.55,3.89,2.01
c_0,17.58,13.33,,8.26,15.28,17.08,4.67,5.1,3.21,0.48,3.15,3.0,2.13,4.17,3.01,4.2
b_0,20.24,24.13,25.08,22.76,,,5.2,4.06,4.37,1.63,0.45,3.85,1.69,3.12,1.6,3.18
f_0,,17.04,15.13,27.98,28.84,,4.96,3.06,3.03,3.07,4.29,0.42,3.71,3.11,1.42,2.64
h_0,12.03,17.48,10.65,10.37,10.47,9.74,,3.03,1.81,2.58,2.75,1.71,,3.33,1.69,2.4
a_0,21.54,25.77,29.22,19.89,29.55,,6.14,5.22,3.52,3.97,2.83,4.2,2.14,0.37,2.49,
g_0,17.07,18.76,19.42,11.77,11.78,,3.13,,2.82,2.27,3.01,2.61,1.75,2.41,,2.28
e_0,24.7,,23.14,34.08,22.73,,7.21,7.23,4.93,3.57,3.05,2.41,3.09,,2.37,0.35
