,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.88,0.78,1.56,1.19,3.0,15.95,24.44,29.82,36.64,46.45,52.04,80.63,,72.04,84.77
d_1,1.13,1.0,0.99,1.19,1.53,3.04,15.95,17.62,37.44,,38.61,38.83,94.95,87.2,65.64,65.24
f_1,1.29,1.01,1.0,1.0,1.35,2.37,14.47,25.47,27.29,30.37,,41.35,56.24,61.79,79.19,102.22
c_1,0.64,0.84,1.0,1.0,1.86,2.08,10.96,19.24,,16.55,35.85,24.9,61.46,66.45,67.7,78.88
b_1,0.84,0.65,0.74,0.54,1.0,2.78,12.58,15.68,19.65,21.01,28.56,,60.16,,67.18,77.12
a_1,0.33,0.33,0.42,0.48,0.36,1.0,5.28,10.59,10.23,13.07,,20.78,28.48,25.98,,41.07
h_1,0.06,0.06,0.07,0.09,0.08,0.19,1.0,1.58,1.75,1.66,2.57,3.23,,3.63,4.28,8.34
g_1,0.04,0.06,0.04,0.05,0.06,0.09,0.63,1.0,1.12,1.52,1.76,2.01,1.79,2.81,3.24,
c_0,0.03,0.03,0.04,,0.05,0.1,0.57,0.89,1.0,1.36,1.32,1.99,1.81,3.04,3.18,3.64
d_0,0.03,,0.03,0.06,0.05,0.08,0.6,0.66,0.73,1.0,1.48,1.74,2.43,1.93,2.52,2.88
f_0,0.02,0.03,,0.03,0.04,,0.39,0.57,0.76,0.67,1.0,1.16,2.16,3.22,,1.98
b_0,0.02,0.03,0.02,0.04,,0.05,0.31,0.5,0.5,0.57,0.86,1.0,2.3,1.44,2.94,1.57
h_0,0.01,0.01,0.02,0.02,0.02,0.04,,0.56,0.55,0.41,0.46,0.43,,1.01,0.93,1.62
e_0,,0.01,0.02,0.02,,0.04,0.28,0.36,0.33,0.52,0.31,0.69,0.99,1.0,,1.22
a_0,0.01,0.02,0.01,0.01,0.01,,0.23,0.31,0.31,0.4,,0.34,1.07,,1.0,1.46
g_0,0.01,0.02,0.01,0.01,0.01,0.02,0.12,,0.28,0.35,0.5,0.64,0.62,0.82,0.68,
