,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,1.14,1.36,1.45,3.01,14.77,28.95,34.32,29.76,40.26,41.51,78.04,76.74,75.71,130.56
e_1,0.8,1.0,1.03,1.67,1.68,3.46,17.72,43.97,33.51,31.93,47.76,43.79,89.14,95.1,100.09,125.76
d_1,0.87,0.95,1.0,0.93,1.17,3.02,14.38,24.79,19.46,35.99,35.74,37.24,64.56,69.77,73.48,81.95
c_1,0.74,0.61,1.07,1.0,1.67,2.88,12.42,16.74,24.51,22.7,31.37,27.87,64.06,61.83,66.93,93.04
b_1,0.68,0.6,0.86,0.6,1.0,3.38,10.78,17.93,19.86,21.73,28.15,24.45,49.81,58.86,54.44,86.13
a_1,0.33,0.29,0.32,0.35,0.29,1.0,5.5,9.58,9.59,9.59,11.96,16.18,31.13,25.58,23.71,32.78
h_1,0.07,0.06,0.07,0.08,0.09,0.19,1.0,1.61,2.08,1.78,2.41,2.32,4.62,5.55,4.78,8.12
d_0,0.03,0.02,0.04,0.06,0.06,0.11,0.61,1.0,1.06,0.97,1.29,1.52,2.72,3.12,3.13,4.54
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.47,0.96,1.0,0.97,1.49,1.42,2.76,2.41,2.99,4.2
c_0,0.04,0.03,0.03,0.04,0.05,0.09,0.56,1.0,1.04,1.0,1.27,1.76,2.98,2.91,2.85,3.81
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.43,0.74,0.68,0.72,1.0,1.13,2.13,2.1,3.34,2.2
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.42,0.67,0.7,0.57,0.89,1.0,2.94,2.19,2.09,2.73
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.36,0.34,0.35,0.46,0.37,1.0,1.09,1.05,1.52
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.18,0.32,0.41,0.35,0.45,0.49,0.89,1.0,0.97,1.6
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.29,0.36,0.34,0.34,0.48,0.99,1.07,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.22,0.24,0.26,0.48,0.38,0.64,0.64,0.83,1.0
