,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.99,0.85,0.85,0.86,0.44,0.45,0.57,0.34,0.44,0.38,0.29,0.31,,0.31
f_1,1.24,1.0,1.02,0.87,0.88,0.73,0.4,0.56,0.41,0.48,,0.35,0.28,0.27,0.27,0.41
d_1,1.01,0.98,1.0,0.9,0.98,0.61,0.5,0.4,,0.57,0.31,0.47,0.37,0.4,0.3,0.25
c_1,1.17,1.15,1.11,1.0,1.57,0.57,0.48,0.58,0.31,,0.44,0.43,0.33,0.26,0.35,0.31
b_1,1.18,1.14,1.02,0.64,1.0,1.26,0.55,0.6,0.46,0.55,0.48,,0.45,0.4,0.35,0.39
a_1,1.16,1.38,1.65,1.76,0.8,1.0,0.75,,0.64,0.67,0.62,,0.47,,,0.39
h_1,2.27,2.52,2.02,2.1,1.81,1.33,1.0,1.17,0.79,0.72,0.82,0.76,,0.7,0.63,0.62
g_1,2.21,1.78,2.49,1.74,1.67,,0.86,1.0,1.17,1.02,1.02,0.86,0.61,1.07,0.91,
d_0,1.74,2.43,,3.22,2.19,1.56,1.26,0.85,1.0,0.93,0.66,0.84,0.98,0.71,0.71,0.77
c_0,2.98,2.07,1.76,,1.8,1.49,1.38,0.98,1.08,1.0,1.26,1.28,0.72,0.58,0.68,1.01
f_0,2.27,,3.2,2.25,2.08,1.61,1.22,0.98,1.51,0.79,1.0,1.08,0.95,0.66,1.24,0.63
b_0,2.61,2.89,2.15,2.32,,,1.32,1.17,1.19,0.78,0.93,1.0,1.19,1.17,0.68,0.72
h_0,3.4,3.59,2.73,3.03,2.25,2.13,,1.65,1.02,1.39,1.06,0.84,,0.74,0.85,0.86
a_0,3.21,3.66,2.47,3.91,2.52,,1.43,0.93,1.41,1.71,1.53,0.85,1.36,1.0,,
e_0,,3.69,3.33,2.84,2.87,,1.59,1.1,1.41,1.47,0.8,1.47,1.18,,1.0,
g_0,3.23,2.42,3.99,3.25,2.54,2.58,1.62,,1.29,0.99,1.58,1.39,1.16,,,
