,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.0,0.42,0.56,0.72,0.56,0.57,0.86,0.72,2.29,0.92,1.04,0.99,0.94,0.95,0.53,0.92
d_1,0.54,18.21,0.62,0.41,0.53,0.56,1.01,0.91,0.39,2.09,1.15,1.06,0.79,1.12,0.96,1.03
f_1,1.16,0.49,15.91,0.6,0.52,0.48,0.65,0.73,0.75,0.86,0.92,0.49,1.04,1.01,0.8,1.02
c_1,0.53,0.56,0.65,17.7,1.25,0.39,0.75,0.83,0.85,0.3,0.54,0.65,0.97,0.98,0.94,0.79
b_1,0.5,0.56,0.54,0.53,18.97,1.44,1.04,0.86,0.84,0.75,0.3,0.72,0.83,0.58,0.78,0.85
a_1,0.56,0.74,0.5,0.55,0.51,28.13,0.88,1.07,0.81,0.89,1.11,1.34,1.1,0.4,0.96,1.15
h_1,0.65,0.68,1.19,0.74,0.55,0.78,5.24,1.65,1.06,1.2,1.32,1.01,0.72,1.13,1.05,1.5
g_1,0.53,1.53,0.72,0.71,0.68,0.55,1.17,5.64,0.78,1.4,1.23,2.0,1.16,0.9,1.23,0.73
d_0,0.56,0.44,0.76,2.4,0.68,0.57,1.12,1.1,2.71,0.84,1.22,1.22,1.27,1.04,1.43,1.15
c_0,0.68,0.91,0.72,0.41,0.54,0.8,1.27,1.28,1.01,2.88,3.55,1.46,1.36,1.3,1.52,1.11
b_0,0.6,0.96,0.79,0.82,0.38,0.68,1.19,1.36,1.1,1.13,3.46,1.56,1.33,2.98,1.33,1.17
f_0,0.56,0.92,0.45,0.86,0.59,0.79,1.34,1.27,1.32,1.08,1.17,3.55,1.76,1.14,4.05,1.34
h_0,0.57,0.92,1.31,0.83,0.7,0.56,0.67,1.52,1.11,0.93,1.3,1.05,0.71,1.14,1.29,1.74
a_0,0.65,0.67,0.79,0.9,0.75,0.4,1.56,1.46,1.14,1.08,1.62,1.8,1.51,3.91,1.62,1.28
e_0,0.36,1.19,0.94,0.91,0.58,0.52,1.46,1.01,1.3,1.19,1.45,1.31,1.83,1.49,4.7,1.29
g_0,0.6,1.33,0.71,0.79,0.59,0.65,1.06,0.65,0.94,1.11,1.35,2.41,1.27,1.46,1.31,0.71
