,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.07,4.78,10.61,13.13,9.18,8.26,4.2,3.02,3.03,2.22,3.06,3.81,2.07,,2.33,2.13
f_1,11.87,1.07,8.03,8.51,8.5,8.1,2.99,3.19,3.95,3.32,,1.87,1.63,3.31,2.28,2.22
d_1,9.95,10.2,1.07,9.66,9.17,7.1,3.85,,2.83,3.48,2.47,3.12,2.01,3.7,2.8,1.37
c_1,8.2,14.15,10.26,1.07,11.51,8.05,3.13,1.79,2.9,,3.31,3.09,2.53,2.49,2.48,2.35
b_1,12.41,14.6,10.9,6.3,1.07,13.3,4.33,3.36,4.17,3.82,2.91,,2.6,3.09,2.25,2.13
a_1,13.53,14.39,16.69,16.0,8.77,1.07,5.74,4.27,5.32,4.99,2.84,5.87,3.44,,,3.0
h_1,12.19,15.0,12.89,13.82,11.96,12.95,1.41,4.27,5.64,3.5,4.54,4.0,,3.45,3.11,3.49
d_0,9.1,15.97,,18.4,12.76,11.8,5.24,1.72,6.31,4.01,3.86,3.53,2.4,3.21,3.7,2.88
g_1,18.89,15.57,15.45,21.7,15.88,15.0,4.51,4.17,1.41,4.9,5.72,4.34,2.82,3.89,3.67,
c_0,17.79,11.2,8.64,,13.91,16.05,6.22,5.65,4.86,1.72,5.54,4.61,3.06,3.4,3.4,2.82
f_0,18.83,,17.26,12.86,15.23,20.35,6.3,4.82,3.42,4.12,1.72,5.26,3.68,5.88,5.74,2.6
b_0,13.25,22.13,16.75,17.23,,11.99,6.75,4.87,7.39,3.8,4.57,1.71,3.78,4.65,5.19,4.24
h_0,17.15,18.74,17.68,12.77,17.07,11.44,,5.65,6.78,4.5,4.78,4.74,,2.66,4.0,3.41
e_0,,23.02,19.33,22.81,18.69,,7.09,7.44,8.34,7.4,3.54,6.27,8.34,1.73,,5.97
a_0,30.35,24.2,28.28,22.86,25.16,,8.03,5.67,7.82,8.01,5.12,3.89,5.45,,1.83,5.0
g_0,21.85,20.9,23.2,17.54,18.74,19.0,4.94,7.03,,5.06,6.09,4.8,3.69,3.66,4.11,
