,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,1.01,0.82,0.72,0.87,0.85,0.37,0.42,0.42,0.51,0.35,0.52,0.25,0.34,0.34,0.4
e_1,0.56,0.42,1.15,0.85,0.92,1.03,0.52,0.48,0.37,0.53,0.44,0.48,0.39,0.71,0.44,0.39
c_1,0.94,0.67,0.39,1.04,1.04,0.91,0.56,0.24,0.54,0.4,0.33,0.35,0.33,0.4,0.34,0.32
d_1,0.97,0.91,0.93,0.38,0.86,0.77,0.41,0.65,0.42,0.34,0.42,0.35,0.36,0.3,0.37,0.22
b_1,0.97,1.13,0.52,0.94,0.37,1.0,0.48,0.42,0.44,0.52,0.76,0.42,0.39,0.37,0.4,0.36
a_1,1.02,0.86,0.92,1.16,0.49,0.31,0.57,0.5,0.44,0.54,0.66,0.43,0.33,0.46,2.09,0.36
h_1,0.8,0.81,0.73,0.8,0.8,0.61,0.25,0.38,0.31,0.5,0.31,0.34,0.42,0.33,0.4,0.35
d_0,0.81,0.5,0.99,1.13,0.95,0.67,0.45,0.26,0.39,0.47,0.4,0.37,0.3,0.35,0.3,0.35
c_0,0.84,0.8,1.43,0.5,0.83,0.67,0.44,0.39,0.25,0.44,0.42,0.39,0.27,0.35,0.35,0.29
g_1,0.82,0.76,0.88,0.87,0.85,0.62,0.33,0.35,0.35,0.22,0.35,0.35,0.24,0.4,0.43,0.26
b_0,0.83,0.65,1.2,0.71,1.4,0.63,0.42,0.35,0.21,0.43,0.23,0.32,0.28,0.39,0.4,0.28
f_0,1.15,0.8,0.78,0.76,0.76,0.64,0.43,0.34,0.32,0.29,0.36,0.22,0.32,0.39,0.38,0.21
h_0,0.94,0.66,0.81,0.66,0.71,0.8,0.56,0.37,0.34,0.44,0.33,0.34,0.37,0.33,0.3,0.36
e_0,1.14,0.89,0.71,0.84,0.72,0.71,0.39,0.3,0.37,0.35,0.32,0.21,0.33,0.2,0.34,0.3
a_0,0.89,0.68,0.95,0.76,1.07,,0.38,0.41,0.31,0.42,0.19,0.3,0.32,0.34,0.19,0.27
g_0,0.73,0.77,0.91,0.82,0.78,0.78,0.32,0.34,0.33,0.77,0.36,0.38,0.22,0.29,0.34,0.37
