,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.51,0.54,0.44,0.45,0.42,0.12,0.16,0.09,0.08,0.09,0.08,0.06,0.09,0.08,0.04
f_1,0.4,0.16,0.46,0.48,0.45,0.36,0.09,0.11,0.09,0.15,0.09,0.14,0.05,0.09,0.08,0.07
e_1,0.49,0.26,0.15,0.52,0.53,0.45,0.12,0.11,0.1,0.17,0.1,0.11,0.07,0.1,0.13,0.09
c_1,0.62,0.46,0.37,0.15,0.41,0.39,0.13,0.06,0.13,0.12,0.09,0.09,0.06,0.09,0.1,0.07
b_1,0.5,0.52,0.44,0.25,0.13,0.59,0.14,0.08,0.12,0.12,0.19,0.09,0.07,0.1,0.08,0.06
a_1,0.43,0.51,0.5,0.51,0.23,0.1,0.13,0.09,0.11,0.14,0.14,0.13,0.07,0.19,0.11,0.07
h_1,0.38,0.39,0.41,0.43,0.37,0.35,0.06,0.09,0.08,0.13,0.08,0.08,0.07,0.07,0.08,0.07
d_0,0.68,0.35,0.22,0.43,0.38,0.41,0.15,0.06,0.09,0.14,0.1,0.11,0.07,0.08,0.09,0.09
c_0,0.23,0.43,0.42,0.59,0.5,0.4,0.13,0.13,0.05,0.12,0.08,0.08,0.07,0.07,0.08,0.06
g_1,0.38,0.4,0.39,0.47,0.42,0.38,0.1,0.09,0.08,0.05,0.08,0.08,0.04,0.07,0.07,0.07
b_0,0.31,0.44,0.41,0.57,0.55,0.36,0.12,0.08,0.05,0.1,0.05,0.07,0.05,0.07,0.09,0.06
f_0,0.36,0.57,0.41,0.42,0.4,0.37,0.11,0.09,0.07,0.07,0.08,0.04,0.06,0.08,0.07,0.04
h_0,0.41,0.41,0.37,0.41,0.4,0.33,0.16,0.09,0.08,0.11,0.08,0.08,0.08,0.07,0.06,0.06
a_0,0.31,0.43,0.38,0.39,0.55,0.55,0.14,0.08,0.06,0.14,0.05,0.08,0.05,0.04,0.08,0.05
e_0,0.35,0.57,0.5,0.37,0.39,0.36,0.1,0.1,0.08,0.09,0.08,0.04,0.06,0.07,0.04,0.04
g_0,0.38,0.41,0.39,0.45,0.42,0.38,0.09,0.09,0.08,0.13,0.09,0.08,0.04,0.08,0.06,0.07
