,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,1.55,1.75,1.92,3.88,17.22,27.77,32.35,36.42,38.16,,53.81,70.36,94.02,127.62
d_1,0.78,1.0,1.04,1.53,1.63,3.12,17.33,21.24,38.19,,43.85,47.73,68.55,79.96,78.13,70.32
e_1,0.65,0.96,1.0,1.41,1.65,3.28,18.65,23.0,27.0,40.8,33.79,49.91,57.25,60.64,,136.63
c_1,0.57,0.65,0.71,1.0,1.98,2.7,12.14,19.73,,18.59,32.34,35.35,42.78,53.25,61.04,100.18
b_1,0.52,0.61,0.61,0.51,1.0,2.98,12.9,9.51,18.04,20.43,,37.03,32.3,50.46,48.95,48.67
a_1,0.26,0.32,0.3,0.37,0.34,1.0,7.29,9.64,7.62,9.74,13.14,17.94,21.13,,,
h_1,0.06,0.06,0.05,0.08,0.08,0.14,1.0,1.48,1.58,1.6,1.94,1.97,,3.56,4.63,5.68
g_1,0.04,0.05,0.04,0.05,0.11,0.1,0.68,1.0,1.09,1.0,1.48,2.17,1.9,3.56,2.7,
c_0,0.03,0.03,0.04,,0.06,0.13,0.63,0.92,1.0,1.3,1.8,1.55,2.47,3.62,3.44,2.96
d_0,0.03,,0.02,0.05,0.05,0.1,0.63,1.0,0.77,1.0,1.22,1.54,1.85,1.88,3.04,3.19
b_0,0.03,0.02,0.03,0.03,,0.08,0.51,0.67,0.56,0.82,1.0,1.38,1.26,2.88,2.05,2.17
f_0,,0.02,0.02,0.03,0.03,0.06,0.51,0.46,0.64,0.65,0.72,1.0,1.44,1.53,2.46,1.59
h_0,0.02,0.01,0.02,0.02,0.03,0.05,,0.53,0.4,0.54,0.79,0.69,,1.14,1.65,1.9
a_0,0.01,0.01,0.02,0.02,0.02,,0.28,0.28,0.28,0.53,0.35,0.65,0.87,1.0,,1.48
e_0,0.01,0.01,,0.02,0.02,,0.22,0.37,0.29,0.33,0.49,0.41,0.6,,1.0,
g_0,0.01,0.01,0.01,0.01,0.02,,0.18,,0.34,0.31,0.46,0.63,0.52,0.67,,
