,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.6,1.21,1.53,1.76,3.04,17.58,34.3,29.0,31.52,39.25,71.38,65.5,90.89,119.91,105.95
e_1,0.62,1.0,1.28,1.46,2.0,3.92,16.83,29.85,44.58,40.93,40.61,58.3,61.13,89.53,124.9,115.39
d_1,0.83,0.78,1.0,1.09,1.48,2.53,17.68,21.16,26.63,37.67,32.74,42.63,58.61,67.86,69.38,107.01
c_1,0.65,0.69,0.92,1.0,1.64,2.67,14.54,19.62,14.91,23.79,21.96,41.14,46.69,69.1,81.32,82.59
b_1,0.57,0.5,0.67,0.61,1.0,2.36,13.28,15.54,14.92,21.96,17.52,26.48,41.93,34.78,78.8,82.65
a_1,0.33,0.26,0.4,0.37,0.42,1.0,6.53,9.27,8.57,11.21,11.8,17.35,25.57,34.16,29.72,35.56
h_1,0.06,0.06,0.06,0.07,0.08,0.14,1.0,1.61,1.63,1.75,1.96,2.26,3.55,4.16,9.0,7.25
g_1,0.03,0.03,0.05,0.05,0.06,0.11,0.63,1.0,1.06,1.2,1.15,2.24,1.9,3.26,4.18,4.12
d_0,0.04,0.02,0.04,0.07,0.06,0.11,0.65,0.92,1.0,1.03,1.27,1.53,2.08,2.44,3.88,5.03
c_0,0.04,0.03,0.03,0.04,0.05,0.1,0.55,0.84,0.86,1.0,1.5,1.17,2.22,2.78,4.03,3.91
b_0,0.03,0.02,0.03,0.05,0.05,0.08,0.53,0.86,0.74,0.66,1.0,1.24,1.77,2.92,3.26,3.74
f_0,0.01,0.02,0.02,0.02,0.04,0.06,0.43,0.42,0.65,0.86,0.75,1.0,1.27,1.64,2.13,3.51
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.28,0.53,0.48,0.45,0.54,0.74,1.0,1.21,2.0,1.75
a_0,0.01,0.01,0.02,0.01,0.03,0.03,0.24,0.3,0.42,0.34,0.34,0.64,0.84,1.0,1.44,1.69
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.23,0.27,0.24,0.31,0.45,0.5,0.67,1.0,1.03
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.25,0.2,0.25,0.28,0.27,0.6,0.61,0.95,1.0
