,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.16,0.73,0.95,0.66,0.82,0.59,0.24,0.25,0.09,0.29,0.17,0.16,0.12,0.15,0.13,0.11
f_1,0.76,0.16,0.7,0.75,0.73,0.73,0.15,0.27,0.17,0.15,0.34,0.13,0.08,0.13,0.14,0.14
d_1,0.92,0.66,0.16,0.96,0.88,0.84,0.21,0.13,0.39,0.13,0.12,0.14,0.11,0.16,0.12,0.07
e_1,0.79,0.44,0.98,0.15,0.78,0.95,0.25,0.25,0.16,0.17,0.19,0.15,0.13,0.65,0.17,0.13
b_1,0.39,0.98,0.83,0.73,0.14,0.88,0.3,0.27,0.19,0.22,0.16,0.48,0.12,0.14,0.19,0.12
a_1,1.14,1.14,0.87,0.79,0.34,0.09,0.19,0.28,0.18,0.18,0.14,0.22,0.11,0.18,0.37,0.14
h_1,0.61,0.6,0.53,0.74,0.6,0.61,0.06,0.16,0.17,0.13,0.12,0.13,0.16,0.1,0.11,0.1
g_1,0.65,0.66,0.58,0.62,0.77,0.55,0.14,0.05,0.14,0.12,0.15,0.11,0.06,0.13,0.15,0.16
d_0,0.63,0.67,1.25,0.31,0.67,0.55,0.21,0.19,0.07,0.13,0.18,0.12,0.09,0.16,0.15,0.1
c_0,1.71,0.65,0.3,0.63,0.66,0.63,0.17,0.16,0.18,0.06,0.12,0.13,0.1,0.17,0.15,0.08
f_0,0.59,1.39,0.54,0.57,0.58,0.54,0.18,0.1,0.13,0.12,0.05,0.14,0.1,0.15,0.19,0.06
b_0,0.85,0.6,0.44,0.6,1.58,0.68,0.17,0.17,0.13,0.06,0.11,0.05,0.09,0.12,0.16,0.09
h_0,0.57,0.62,0.58,0.55,0.58,0.57,0.27,0.18,0.14,0.13,0.15,0.1,0.14,0.12,0.11,0.08
e_0,0.6,1.3,0.49,1.21,0.68,0.43,0.17,0.13,0.13,0.11,0.06,0.1,0.09,0.04,0.13,0.09
a_0,0.68,0.57,0.53,0.64,0.67,1.07,0.16,0.18,0.13,0.11,0.11,0.07,0.08,0.12,0.04,0.09
g_0,0.64,0.76,0.55,0.57,0.67,0.56,0.14,0.27,0.13,0.11,0.12,0.11,0.06,0.13,0.12,0.13
