,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.34,0.78,0.76,0.71,0.64,0.22,0.21,0.17,0.17,0.18,0.15,0.11,0.15,0.27,0.11
f_1,0.64,0.17,0.59,0.67,0.67,0.61,0.14,0.21,0.15,0.12,0.24,0.12,0.07,0.11,0.12,0.12
d_1,0.69,0.76,0.15,0.68,0.73,0.64,0.16,0.11,0.33,0.13,0.12,0.13,0.1,0.11,0.13,0.06
c_1,0.54,0.72,0.78,0.15,0.64,0.61,0.23,0.2,0.08,0.25,0.13,0.13,0.09,0.16,0.12,0.09
b_1,0.65,0.83,0.71,0.35,0.13,0.71,0.2,0.24,0.13,0.19,0.14,0.27,0.1,0.15,0.14,0.1
a_1,0.73,0.83,0.58,0.83,0.35,0.09,0.2,0.2,0.16,0.12,0.16,0.17,0.13,0.4,0.12,0.12
h_1,0.53,0.57,0.55,0.49,0.5,0.59,0.06,0.17,0.13,0.1,0.11,0.1,0.1,0.09,0.1,0.07
g_1,0.49,0.57,0.57,0.59,0.48,0.58,0.11,0.05,0.13,0.1,0.1,0.12,0.06,0.11,0.09,0.09
d_0,0.28,0.51,1.07,0.61,0.54,0.54,0.19,0.21,0.06,0.11,0.12,0.11,0.09,0.12,0.12,0.1
c_0,0.54,0.64,0.26,0.94,0.53,0.51,0.15,0.16,0.19,0.06,0.11,0.15,0.08,0.1,0.1,0.08
f_0,0.51,0.76,0.58,0.6,0.43,0.5,0.14,0.09,0.12,0.1,0.05,0.1,0.07,0.09,0.12,0.05
b_0,0.53,0.54,0.44,0.75,0.83,0.46,0.15,0.15,0.11,0.05,0.11,0.05,0.07,0.13,0.12,0.08
h_0,0.54,0.5,0.53,0.51,0.52,0.41,0.23,0.14,0.13,0.11,0.09,0.1,0.12,0.08,0.1,0.07
a_0,0.51,0.46,0.55,0.62,0.61,0.65,0.14,0.13,0.14,0.1,0.11,0.05,0.07,0.04,0.11,0.08
e_0,0.77,0.98,0.45,0.61,0.49,0.57,0.13,0.13,0.1,0.08,0.05,0.09,0.06,0.09,0.04,0.06
g_0,0.51,0.61,0.52,0.54,0.54,0.55,0.12,0.19,0.12,0.09,0.1,0.08,0.05,0.09,0.09,0.09
