,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.64,0.36,0.38,0.33,0.24,0.26,0.24,0.23,0.25,0.24,0.14,0.21,0.18,0.12,0.17
e_1,0.45,0.94,0.42,0.47,0.33,0.25,0.29,0.28,0.27,0.42,0.27,0.24,0.24,0.21,0.13,0.19
d_1,0.51,0.42,0.94,0.42,0.32,0.27,0.29,0.22,0.4,0.16,0.26,0.22,0.22,0.19,0.18,0.19
c_1,0.48,0.37,0.4,0.94,0.68,0.25,0.31,0.24,0.16,0.2,0.21,0.23,0.24,0.19,0.17,0.23
b_1,0.49,0.45,0.52,0.32,0.94,0.46,0.36,0.26,0.3,0.26,0.18,0.28,0.24,0.18,0.21,0.19
a_1,0.52,0.48,0.6,0.54,0.38,0.94,0.37,0.25,0.29,0.29,0.27,0.26,0.28,0.19,0.24,0.3
h_1,0.87,0.67,0.68,0.62,0.51,0.39,0.74,0.44,0.36,0.38,0.38,0.37,0.34,0.3,0.25,0.38
g_1,0.63,0.65,0.97,0.66,0.53,0.48,0.45,0.75,0.49,0.43,0.4,0.52,0.38,0.31,0.36,0.22
c_0,0.94,0.73,0.66,0.47,0.54,0.47,0.51,0.38,0.66,0.5,0.68,0.41,0.41,0.39,0.32,0.35
d_0,0.79,0.6,0.59,1.12,0.58,0.48,0.51,0.44,0.34,0.65,0.39,0.43,0.39,0.34,0.32,0.31
b_0,0.83,0.72,0.79,0.8,0.47,0.35,0.58,0.45,0.39,0.53,0.66,0.42,0.51,0.56,0.37,0.38
f_0,0.76,0.7,0.92,0.72,0.62,0.48,0.56,0.39,0.44,0.41,0.47,0.65,0.46,0.34,0.52,0.33
h_0,1.06,0.75,0.94,0.8,0.67,0.47,0.34,0.56,0.5,0.49,0.36,0.43,0.32,0.32,0.31,0.44
a_0,0.89,0.85,0.9,0.88,0.65,0.23,0.6,0.52,0.51,0.5,0.35,0.45,0.55,0.62,0.4,0.38
e_0,1.18,0.57,0.92,0.82,0.75,0.38,0.66,0.4,0.53,0.47,0.45,0.4,0.56,0.35,0.63,0.39
g_0,0.88,0.78,1.2,0.76,0.84,0.5,0.52,0.34,0.53,0.49,0.46,0.66,0.43,0.42,0.36,0.28
