,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.77,3.68,2.04,2.21,1.97,1.94,7.82,7.31,8.89,10.76,9.74,5.54,15.12,8.77,13.15,8.25
e_1,2.55,5.83,1.64,2.94,2.11,2.1,8.58,8.48,9.95,18.84,10.73,9.88,16.28,12.67,14.99,7.69
d_1,2.47,1.91,6.37,1.87,2.09,2.15,8.8,8.84,19.02,6.69,12.95,11.89,17.51,11.84,17.48,10.34
c_1,2.01,1.92,2.24,6.86,4.23,2.01,8.0,8.25,5.26,9.53,7.82,11.32,15.38,11.16,13.54,11.15
b_1,2.0,2.02,2.52,2.13,8.42,4.79,7.54,7.55,8.89,9.59,6.26,9.53,15.23,8.65,17.09,11.45
a_1,2.18,2.28,2.81,1.9,2.33,11.45,7.95,7.65,10.73,7.67,10.75,11.55,18.61,7.05,19.72,13.34
h_1,3.06,2.37,2.69,2.41,2.56,2.23,16.85,11.45,10.22,10.85,11.76,12.11,14.86,10.37,23.04,13.05
g_1,2.45,1.91,3.58,2.5,2.42,2.52,8.22,21.27,10.5,8.51,10.59,15.87,15.67,11.36,12.35,14.68
c_0,2.7,2.61,2.66,2.02,1.87,2.28,10.27,9.85,19.15,9.77,22.11,14.37,19.44,14.79,22.6,14.86
d_0,2.3,2.29,1.54,4.63,2.73,2.53,8.55,8.4,8.69,18.0,9.76,13.06,16.02,10.29,15.73,12.29
b_0,2.88,2.61,2.32,2.59,1.58,1.85,10.19,9.46,12.14,12.49,20.61,13.13,21.23,25.93,21.28,16.86
f_0,1.92,1.88,2.84,2.64,2.66,3.15,10.09,9.91,12.55,11.44,12.1,22.22,17.17,13.03,17.29,29.03
h_0,3.33,2.35,2.51,2.58,1.95,2.44,6.88,11.58,11.46,10.62,11.51,10.79,11.51,12.68,23.56,12.23
a_0,2.85,2.23,2.51,2.51,2.79,1.98,10.02,9.67,12.2,13.17,9.45,14.67,20.99,26.25,18.6,16.36
g_0,2.09,2.1,3.84,2.54,2.02,2.47,8.57,8.1,13.08,10.09,12.58,18.44,20.1,12.98,15.18,12.76
e_0,2.45,2.01,2.74,2.68,2.58,3.05,8.03,8.43,11.06,12.07,13.44,14.0,20.49,12.49,21.4,30.75
