,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.17,1.77,2.01,4.88,22.34,35.08,49.67,36.73,44.17,54.77,87.7,88.0,121.19,120.86
f_1,1.21,1.0,1.16,1.48,1.78,3.44,15.2,28.58,32.1,30.33,43.7,41.53,64.45,79.6,85.06,139.24
d_1,0.85,0.87,1.0,0.89,1.09,2.98,14.9,18.23,24.49,36.17,35.25,33.5,64.15,68.08,93.0,72.3
c_1,0.56,0.68,1.12,1.0,1.53,2.63,13.15,20.32,14.8,17.06,26.91,34.86,50.86,61.91,85.16,80.3
b_1,0.5,0.56,0.91,0.66,1.0,3.69,10.72,22.29,16.57,20.07,22.54,28.09,42.06,46.24,64.61,70.4
a_1,0.2,0.29,0.34,0.38,0.27,1.0,4.64,7.67,7.29,9.15,11.65,12.0,22.37,18.72,24.01,31.6
h_1,0.04,0.07,0.07,0.07,0.09,0.21,1.0,1.93,1.35,1.6,2.17,2.4,4.09,4.72,5.17,7.27
g_1,0.03,0.03,0.05,0.05,0.05,0.13,0.53,1.0,0.89,1.08,1.32,1.83,2.1,2.57,4.33,3.77
d_0,0.02,0.03,0.04,0.06,0.06,0.13,0.73,1.1,1.0,0.96,1.4,1.54,2.31,3.37,3.34,4.0
c_0,0.03,0.03,0.03,0.06,0.05,0.11,0.61,0.88,1.02,1.0,1.77,1.4,2.28,2.84,3.41,3.75
b_0,0.02,0.02,0.03,0.04,0.04,0.09,0.45,0.77,0.74,0.56,1.0,0.93,1.89,3.11,2.31,3.01
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.42,0.52,0.63,0.75,1.08,1.0,1.73,2.08,3.53,2.26
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.47,0.42,0.42,0.5,0.55,1.0,0.98,1.24,1.95
a_0,0.01,0.01,0.01,0.02,0.02,0.05,0.21,0.41,0.33,0.38,0.33,0.48,1.05,1.0,1.29,1.32
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.25,0.28,0.3,0.43,0.27,0.76,0.68,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.27,0.25,0.27,0.34,0.42,0.5,0.75,0.94,1.0
