,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.49,1.6,1.24,2.05,1.41,1.48,5.79,13.61,5.69,5.78,7.46,7.15,10.91,5.36,7.94,11.25
f_1,2.48,5.86,1.36,1.44,1.52,1.32,4.95,6.12,4.45,6.47,7.97,3.06,10.25,5.47,8.41,8.41
d_1,1.42,1.59,6.61,1.27,1.33,1.25,5.8,3.74,6.1,14.09,9.08,8.62,11.47,9.05,8.15,10.83
c_1,1.21,1.59,1.46,6.81,2.81,1.5,5.66,5.4,5.46,2.41,5.96,6.84,10.24,6.32,6.64,11.33
b_1,1.51,1.39,1.46,1.4,7.36,3.07,5.75,6.78,5.38,5.55,2.91,8.02,12.4,6.59,5.4,11.53
a_1,1.28,1.88,1.72,1.51,1.34,11.23,6.42,7.26,5.54,8.86,7.39,7.89,10.5,7.92,2.93,12.31
h_1,1.77,2.57,1.82,1.84,1.87,1.66,16.95,7.55,8.82,7.92,8.43,7.47,8.27,9.61,8.85,16.46
d_0,1.84,1.75,1.08,3.71,1.81,1.83,6.37,15.98,6.08,6.46,7.78,10.94,12.43,9.04,9.53,14.14
g_1,1.77,1.44,3.38,1.39,1.63,1.98,6.05,7.11,20.65,9.19,8.24,15.65,12.83,10.4,11.3,9.04
c_0,2.07,2.04,2.42,1.06,1.55,1.45,7.3,6.74,7.37,17.44,18.0,9.39,13.69,11.55,11.38,12.85
b_0,2.41,1.92,2.19,1.66,0.71,1.49,7.11,9.17,7.23,9.62,19.44,10.0,15.92,11.1,24.97,12.22
f_0,1.73,1.5,2.18,1.75,1.77,1.94,9.12,9.25,8.08,10.2,9.74,20.36,14.41,21.04,7.16,16.31
h_0,1.89,2.47,2.27,1.88,1.36,1.67,4.1,8.57,9.33,8.58,9.59,9.79,7.0,10.1,9.08,19.32
e_0,1.12,2.45,1.85,1.98,1.52,1.79,8.57,9.14,7.01,10.69,10.1,11.98,14.58,28.41,8.88,16.23
a_0,1.89,2.17,2.35,1.91,1.47,0.85,6.85,8.07,8.73,8.77,9.86,9.83,14.84,13.22,27.87,13.49
g_0,1.53,1.66,2.89,2.16,1.88,1.62,6.87,6.61,5.33,8.82,8.15,15.22,11.4,10.06,8.92,9.6
