,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.05,0.9,0.98,0.94,0.93,0.84,1.31,1.13,1.09,1.0,0.98,0.95,0.96,0.88
f_1,0.95,1.0,1.26,1.01,0.9,1.0,0.89,0.99,0.89,0.95,1.06,0.82,0.84,0.94,0.82,0.96
e_1,0.92,0.79,1.0,1.23,1.01,0.91,1.07,1.11,0.99,0.98,1.38,1.15,1.11,1.01,1.17,1.12
c_1,1.14,1.01,0.8,1.0,1.43,0.92,1.01,1.05,0.84,0.79,0.71,0.99,0.95,0.99,0.93,0.94
b_1,1.02,1.11,0.97,0.71,1.0,1.52,1.09,1.0,1.07,0.98,0.81,0.97,1.07,0.95,0.97,1.01
a_1,1.05,1.02,1.08,1.07,0.66,1.0,1.14,1.09,1.02,1.25,1.19,0.98,1.2,1.25,1.16,1.05
h_1,1.03,1.13,0.92,0.96,0.97,0.91,1.0,1.16,0.92,0.91,0.86,1.0,0.86,0.97,0.97,1.17
g_1,1.18,1.08,0.87,0.96,0.97,0.91,0.84,1.0,1.01,0.92,0.87,1.19,0.91,0.94,1.0,0.98
c_0,0.78,1.13,0.99,1.16,0.89,0.99,1.04,0.93,1.0,1.43,1.11,1.11,1.11,1.24,1.05,1.12
b_0,0.89,1.08,1.04,1.24,0.98,0.76,1.08,1.06,0.72,1.0,1.1,1.0,1.08,1.27,1.03,1.04
d_0,0.84,0.91,0.74,1.46,1.26,0.86,1.18,1.17,0.85,0.87,1.0,1.08,0.99,0.97,1.16,1.06
f_0,1.02,1.12,0.88,1.06,1.01,0.99,1.01,0.85,0.94,1.04,0.95,1.0,1.03,0.94,1.54,0.83
h_0,1.03,1.17,0.91,1.07,0.93,0.82,1.16,1.12,0.88,0.95,0.99,0.99,1.0,0.93,0.98,1.21
a_0,1.05,1.04,1.0,1.07,1.01,0.86,1.03,1.06,0.85,0.77,1.02,1.13,1.11,1.0,0.92,1.24
e_0,0.98,1.24,0.88,1.13,1.07,0.87,0.98,0.95,0.92,1.0,0.85,0.67,1.0,1.07,1.0,1.08
g_0,1.13,1.02,0.92,1.06,0.94,0.94,0.85,1.0,0.91,0.99,0.92,1.19,0.84,0.85,0.92,1.0
