,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,2.09,1.87,2.08,1.83,1.91,0.6,0.51,0.72,0.56,0.51,0.67,0.33,0.49,0.49,0.42
e_1,1.41,1.06,2.15,2.55,2.11,1.7,0.9,0.68,0.84,0.82,0.62,0.85,0.53,0.61,0.5,0.79
d_1,2.58,2.55,1.05,1.96,1.89,1.56,0.73,0.76,0.55,0.86,0.66,0.58,0.48,0.46,0.34,0.52
c_1,2.44,1.82,2.51,1.06,2.27,1.77,0.94,0.8,0.76,0.42,0.57,0.55,0.49,0.56,0.49,0.49
b_1,3.14,2.73,2.45,1.57,1.07,2.65,1.07,0.97,0.9,0.82,1.33,0.73,0.69,0.65,0.56,0.62
a_1,3.2,4.09,4.24,3.52,1.92,1.07,1.31,1.14,1.47,1.19,1.18,1.02,0.88,1.42,0.93,0.93
h_1,6.53,4.91,5.33,4.95,4.54,4.27,1.31,1.5,1.96,1.71,1.75,1.36,1.56,1.33,1.31,1.37
c_0,7.65,6.7,4.0,9.36,6.17,5.49,2.79,1.47,2.43,2.85,2.41,1.85,1.52,1.9,1.39,1.53
g_1,6.9,6.38,7.33,7.37,7.08,4.54,2.07,1.62,1.33,1.85,1.89,1.82,1.07,1.83,1.46,1.9
d_0,7.17,4.04,10.5,8.34,7.05,5.92,2.51,1.73,2.73,1.51,1.9,1.92,1.74,1.76,1.57,1.67
b_0,8.14,7.09,6.7,10.22,8.65,5.49,2.69,1.34,2.86,2.18,1.47,2.09,1.69,2.65,1.65,1.84
f_0,12.7,6.68,7.68,8.57,6.89,5.92,3.31,2.12,2.0,2.32,2.0,1.5,1.72,2.11,1.11,2.28
h_0,10.07,8.63,9.1,8.43,8.06,6.41,4.45,2.61,4.26,2.71,2.36,2.6,2.51,2.25,2.07,2.02
a_0,11.25,8.53,10.31,10.94,10.55,8.5,4.7,2.67,3.04,2.75,1.58,2.53,2.49,1.6,2.26,2.74
g_0,9.96,9.62,11.92,9.88,10.07,7.33,2.88,3.31,5.29,2.74,2.79,3.62,2.09,2.57,2.67,2.69
e_0,15.45,13.2,9.29,11.75,10.34,8.68,4.43,3.02,3.46,2.91,3.41,1.68,3.04,2.78,1.97,1.61
