,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,1.16,0.83,0.89,0.79,0.55,0.63,0.46,0.46,0.44,0.47,0.35,0.36,0.47,0.36
f_1,1.3,1.0,0.99,1.07,0.77,0.67,0.41,0.41,0.39,0.52,0.39,0.37,0.3,0.36,0.23,0.34
c_1,0.86,1.01,1.0,1.06,1.31,0.74,0.5,0.33,0.35,0.41,0.32,0.38,0.33,0.32,0.32,0.34
d_1,1.21,0.93,0.94,1.0,1.01,0.7,0.48,0.45,0.58,0.36,0.44,0.41,0.35,0.29,0.31,0.26
b_1,1.14,1.32,0.76,1.0,1.0,1.44,0.58,0.47,0.63,0.54,0.41,0.41,0.39,0.32,0.34,0.33
a_1,1.25,1.49,1.35,1.4,0.71,1.0,0.77,0.59,0.49,0.56,0.6,0.55,0.47,0.39,0.49,0.44
h_1,1.88,2.39,2.09,2.04,1.68,1.31,1.0,0.89,0.86,1.12,0.77,0.75,0.7,0.61,0.66,0.74
d_0,1.58,2.32,3.12,2.27,2.2,1.71,1.1,1.0,0.83,0.99,0.94,0.87,0.86,0.66,0.81,0.87
c_0,2.21,2.55,2.75,1.69,1.49,1.92,1.15,1.15,1.0,1.02,1.25,0.85,0.92,0.9,0.78,0.74
g_1,2.12,1.91,2.45,2.81,1.83,1.74,0.91,0.99,1.0,1.0,0.92,1.02,0.72,0.6,0.72,0.65
b_0,2.32,2.53,3.14,2.25,2.38,1.61,1.29,1.09,0.78,1.09,1.0,0.93,0.83,1.14,0.79,0.82
f_0,2.11,2.79,2.59,2.47,2.43,1.79,1.34,1.12,1.12,0.94,1.06,1.0,0.95,0.81,1.18,0.65
h_0,2.73,3.45,3.08,2.85,2.56,2.14,1.37,1.19,1.08,1.46,1.14,1.08,1.0,0.83,0.88,1.19
a_0,2.8,2.8,2.92,3.44,3.22,2.38,1.69,1.43,1.16,1.64,0.89,1.27,1.22,1.0,0.98,0.96
e_0,2.36,4.06,2.98,3.16,2.94,2.1,1.51,1.23,1.27,1.37,1.29,0.88,1.1,1.06,1.0,0.92
g_0,2.69,2.87,2.95,3.82,2.9,2.3,1.36,1.17,1.25,1.64,1.22,1.46,0.82,1.11,1.16,1.0
