,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.96,1.12,1.08,1.03,1.08,1.21,0.99,1.45,1.03,1.25,1.11,0.97,1.11,1.13
f_1,1.3,1.0,0.93,0.99,0.87,0.96,0.83,1.01,0.93,0.94,0.94,0.88,0.79,0.92,0.82,0.93
d_1,1.03,1.09,1.0,0.98,0.93,0.87,1.06,0.8,1.24,1.13,1.11,1.0,0.99,0.92,1.02,0.86
c_1,0.89,1.02,1.02,1.0,1.46,0.76,0.92,1.09,0.88,0.73,0.97,0.92,1.05,1.05,0.94,1.01
b_1,0.92,1.14,1.09,0.69,1.0,1.68,1.01,1.05,1.12,0.88,0.95,0.97,1.04,0.91,1.01,1.01
a_1,0.97,1.04,1.15,1.33,0.59,1.0,1.22,0.96,0.93,1.18,1.09,1.04,1.29,0.98,1.04,1.18
h_1,0.95,1.19,0.94,1.08,0.93,0.87,1.0,1.13,0.93,0.9,0.93,0.85,0.94,1.03,0.97,1.15
g_1,0.85,0.95,1.25,0.96,0.96,1.01,0.91,1.0,0.95,0.81,0.9,1.24,0.94,1.0,0.94,0.96
c_0,1.05,1.06,0.79,1.21,0.86,1.09,1.05,1.0,1.0,1.09,1.32,1.0,1.06,1.05,1.03,1.06
d_0,0.71,0.99,0.9,1.36,1.16,0.84,1.11,1.16,0.9,1.0,0.87,0.95,1.01,1.1,0.98,1.11
b_0,1.02,1.04,0.87,1.11,0.99,0.82,1.07,1.08,0.73,1.12,1.0,1.01,1.16,1.47,1.05,0.98
f_0,0.8,1.11,0.98,1.09,1.03,0.93,1.14,0.83,0.95,1.04,0.99,1.0,1.07,1.12,1.58,0.75
h_0,0.93,1.24,1.03,0.94,0.9,0.78,1.07,1.06,0.91,1.0,0.85,0.97,1.0,1.01,0.96,1.25
a_0,1.02,1.02,1.08,0.97,1.17,1.05,0.97,1.06,0.95,0.86,0.72,0.94,0.98,1.0,0.85,0.95
e_0,0.98,1.32,1.01,1.14,0.97,0.91,1.03,1.01,0.88,0.95,1.0,0.68,0.97,1.23,1.0,0.99
g_0,0.95,1.03,1.22,0.98,0.89,0.88,0.89,1.08,0.92,0.93,0.99,1.28,0.8,1.05,1.01,1.0
