,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.02,1.34,0.68,0.77,0.63,0.58,0.94,0.84,0.99,0.83,0.91,0.58,0.8,0.8,0.53,0.91
e_1,0.86,2.06,0.61,1.01,0.65,0.64,0.97,0.83,1.56,0.76,1.08,1.04,0.95,1.05,0.71,0.95
d_1,0.85,0.64,2.3,0.53,0.67,0.85,0.9,1.0,0.59,1.87,1.24,1.11,1.08,1.01,1.18,1.03
c_1,0.61,0.68,0.68,2.28,1.46,0.69,0.96,0.84,0.93,0.51,0.59,0.96,0.92,0.81,0.95,0.97
b_1,0.81,0.58,0.88,0.67,2.47,1.42,0.96,0.97,0.75,0.93,0.61,0.9,1.08,0.97,1.07,0.96
a_1,0.81,0.76,0.87,0.83,0.72,3.55,0.9,1.05,0.93,0.93,0.96,0.79,1.06,0.68,0.77,0.9
h_1,1.2,0.92,0.88,0.75,0.74,0.59,1.99,1.21,1.05,0.82,1.07,0.92,0.88,1.03,1.13,1.44
g_1,0.75,0.67,1.37,0.84,0.8,0.75,0.87,2.31,0.84,1.13,1.13,1.71,1.16,1.01,1.45,0.85
d_0,0.85,0.84,0.47,1.52,0.86,0.64,1.02,1.11,1.65,0.7,0.91,1.11,0.99,0.97,1.14,0.97
c_0,0.94,0.81,0.98,0.62,0.58,0.71,1.05,1.25,0.98,1.95,2.25,1.16,1.27,1.37,1.37,1.13
b_0,0.89,0.81,0.9,0.84,0.63,0.55,1.16,1.1,1.13,1.11,2.19,1.24,1.32,2.31,1.21,1.26
f_0,0.61,0.65,1.05,0.78,0.78,0.99,1.21,1.09,1.09,1.33,1.2,2.31,1.34,1.4,2.71,1.28
h_0,0.97,0.74,1.03,0.93,0.72,0.78,0.87,1.38,1.02,0.97,1.06,1.16,0.69,1.2,1.34,1.49
a_0,0.86,0.69,1.11,0.85,0.8,0.46,1.21,1.33,0.95,1.08,1.19,1.36,1.27,2.32,1.26,1.05
e_0,0.91,0.62,1.02,0.95,0.79,0.85,1.24,1.0,1.06,0.87,1.21,1.14,1.2,1.18,2.49,1.13
g_0,0.8,0.82,1.38,0.79,0.64,0.71,1.06,1.09,0.86,1.18,1.06,1.74,1.07,1.13,1.39,0.72
