,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.11,2.75,2.58,3.0,3.06,2.57,0.64,0.88,0.61,0.64,0.6,0.81,0.37,0.63,0.46,0.63
d_1,3.55,1.1,3.39,3.23,2.84,2.6,0.88,0.58,0.57,1.25,0.55,0.61,0.41,0.66,0.31,0.52
e_1,1.93,3.31,1.1,3.62,3.42,2.96,0.92,1.03,0.75,0.72,0.7,0.77,0.47,0.6,0.53,1.02
c_1,3.23,4.62,3.0,1.1,3.7,3.46,1.06,1.06,1.0,0.4,0.63,0.69,0.5,0.62,0.52,0.74
b_1,4.34,3.82,4.17,2.15,1.12,3.9,1.16,1.06,1.02,0.77,1.56,0.87,0.59,0.89,0.59,0.69
a_1,5.53,5.21,5.64,5.25,2.51,1.13,1.52,1.68,1.11,1.09,1.65,0.98,0.74,1.98,0.77,0.99
h_1,11.17,9.82,10.91,12.01,10.94,9.71,1.59,3.04,2.28,2.5,2.1,2.04,2.14,1.96,1.61,1.96
g_1,16.99,12.68,12.36,14.67,14.49,12.31,3.29,1.68,2.77,2.65,2.66,2.76,1.65,2.65,2.35,3.04
c_0,15.81,8.59,14.85,26.53,17.04,15.04,4.35,3.66,1.92,4.11,2.92,3.19,2.07,3.2,1.83,3.1
d_0,14.21,23.4,9.53,17.34,17.91,17.33,5.59,5.52,3.53,2.11,2.99,3.25,2.24,3.04,2.44,3.57
b_0,18.64,13.21,17.47,27.0,26.53,16.41,5.39,4.17,1.97,3.45,2.0,3.67,2.55,3.6,2.44,3.46
f_0,25.19,16.76,16.8,19.81,18.14,18.36,5.39,3.34,3.69,3.68,3.23,2.08,2.68,2.9,1.78,3.46
h_0,22.27,22.35,20.23,25.01,24.03,19.87,8.96,5.61,4.5,4.44,4.17,4.54,4.4,3.67,3.64,4.06
a_0,26.28,23.56,25.82,26.76,36.05,34.94,6.6,6.98,3.89,5.25,2.53,5.17,3.12,2.25,2.94,5.52
g_0,29.22,21.66,27.03,27.49,31.6,24.34,6.14,9.12,5.18,5.59,4.64,5.07,2.61,5.08,4.44,4.58
e_0,33.82,27.03,37.2,26.08,22.86,26.41,7.84,5.85,5.14,4.72,5.81,2.79,3.6,4.7,3.19,2.29
