,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.66,2.21,1.97,1.82,2.08,1.87,0.78,0.97,0.81,0.63,1.47,0.78,0.53,0.6,0.7,0.55
e_1,1.4,0.66,2.34,2.13,2.02,1.79,0.93,1.0,0.87,0.77,0.86,0.74,0.67,1.6,0.72,0.61
c_1,2.37,1.83,0.65,2.34,2.13,1.72,0.91,1.08,0.5,1.3,0.71,0.63,0.68,0.8,0.67,0.72
d_1,2.35,2.32,2.19,0.65,2.38,1.77,0.96,0.66,1.8,0.91,0.64,0.63,0.62,0.72,0.57,0.44
b_1,2.23,2.56,1.44,2.11,0.63,2.86,1.1,1.02,0.89,1.15,0.8,1.82,0.65,0.74,0.87,0.62
a_1,2.76,2.54,3.58,3.86,1.41,0.57,1.14,1.25,0.88,1.01,1.05,1.29,0.93,1.18,1.72,0.75
h_1,2.51,2.77,2.52,2.58,2.47,2.78,0.6,1.44,0.93,1.0,1.22,1.02,1.16,1.03,0.85,0.95
g_1,2.82,3.03,2.71,3.26,3.04,2.44,1.0,0.56,1.04,1.05,1.4,1.04,0.63,0.8,1.02,1.72
d_0,2.73,1.88,3.36,4.26,3.29,3.04,1.38,1.22,0.69,0.96,1.02,1.03,0.83,0.99,1.26,1.02
c_0,3.32,2.97,5.27,1.78,3.03,3.75,1.49,1.42,1.22,0.66,1.13,1.35,0.96,0.85,1.15,1.01
f_0,5.24,2.56,3.02,3.04,3.24,2.47,1.21,0.82,1.09,0.93,0.64,1.3,0.94,0.97,1.11,0.62
b_0,3.4,2.92,5.01,2.95,5.1,2.19,1.53,1.27,1.11,0.59,0.92,0.63,0.93,0.83,1.3,0.86
h_0,3.69,3.25,3.04,2.95,3.6,3.03,2.7,1.92,1.24,1.05,1.12,1.01,1.29,1.16,1.06,1.07
e_0,5.06,5.25,3.0,3.73,3.23,2.31,1.43,1.84,1.2,1.22,0.73,1.73,0.93,0.59,1.21,0.85
a_0,3.46,3.46,4.13,4.31,3.38,5.07,1.89,1.29,0.95,1.21,1.43,0.67,0.87,0.96,0.59,1.19
g_0,4.51,3.4,3.16,3.42,3.87,4.06,1.35,2.23,1.34,1.08,1.5,1.33,0.81,1.14,1.15,1.61
