,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,3.72,0.39,0.36,0.5,0.34,0.4,0.81,0.71,1.4,0.92,0.9,0.66,0.91,0.91,0.23,0.6
f_1,0.71,3.89,0.33,0.41,0.36,0.37,0.67,0.55,0.76,0.68,0.81,0.16,0.73,0.81,0.55,0.86
d_1,0.33,0.43,4.23,0.31,0.35,0.32,0.84,0.74,0.27,1.56,0.93,0.86,0.74,0.85,0.98,1.18
c_1,0.37,0.32,0.43,4.38,0.81,0.29,0.77,0.78,0.8,0.17,0.52,0.66,0.82,0.66,0.85,0.82
b_1,0.42,0.45,0.4,0.35,4.92,0.73,0.69,0.93,0.73,0.43,0.17,0.77,0.6,1.0,0.69,0.95
a_1,0.35,0.37,0.36,0.37,0.44,7.27,0.73,0.83,0.69,0.9,0.9,0.91,0.31,1.12,0.86,0.81
h_1,0.55,1.1,0.76,0.6,0.58,0.54,5.19,1.69,1.26,1.25,1.3,1.46,1.22,0.46,1.7,1.89
g_1,0.67,0.45,1.14,0.77,0.56,0.5,1.46,5.92,1.25,1.13,1.29,2.49,1.4,1.52,1.37,0.56
d_0,0.73,0.7,0.32,1.32,0.68,0.67,1.21,1.19,3.63,1.3,1.46,1.64,1.51,1.63,1.53,1.47
c_0,0.67,0.79,0.8,0.31,0.58,0.73,1.22,1.29,1.48,3.99,3.15,2.14,1.65,1.91,1.76,1.62
b_0,0.77,0.77,0.7,0.7,0.29,0.53,1.35,1.35,1.63,1.57,4.54,2.0,3.45,1.81,1.67,1.35
f_0,0.56,0.19,0.84,0.8,0.55,1.1,1.12,1.08,2.02,1.85,1.38,5.24,1.71,1.84,3.59,1.61
a_0,0.69,0.83,0.69,0.6,0.83,,1.29,1.14,1.26,1.84,1.72,2.04,4.9,1.81,1.88,1.77
h_0,0.63,1.03,0.76,0.77,0.51,0.68,0.39,1.1,1.07,1.27,1.39,1.31,1.38,0.42,1.69,1.98
e_0,0.34,0.77,0.73,0.89,0.63,0.95,1.6,1.39,1.48,1.46,1.54,1.85,1.27,1.53,6.28,1.44
g_0,0.52,0.83,1.3,0.71,0.48,0.37,1.15,0.5,1.22,1.54,1.47,2.46,1.34,1.71,1.64,0.64
