,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.86,1.23,1.37,1.28,1.18,0.63,0.53,0.47,0.53,0.51,0.59,0.44,0.43,0.54,0.77
f_1,1.34,0.67,1.23,1.2,1.09,1.07,0.45,0.47,0.43,0.66,0.45,0.66,0.27,0.44,0.41,0.34
d_1,1.55,1.37,0.64,1.26,1.23,1.21,0.62,0.63,0.53,0.43,0.45,0.44,0.39,0.38,0.26,0.46
c_1,1.17,1.53,1.63,0.63,1.66,1.1,0.62,0.32,0.6,0.56,0.44,0.43,0.36,0.48,0.38,0.4
b_1,1.46,1.59,1.7,0.91,0.61,1.68,0.66,0.54,0.67,0.73,0.67,0.43,0.5,0.43,0.38,0.47
a_1,1.8,1.78,1.69,2.02,0.92,0.57,0.76,0.71,0.58,0.88,0.75,0.56,0.48,1.0,0.51,0.48
h_1,1.86,2.23,1.82,1.94,2.0,1.58,0.58,0.76,0.64,0.91,0.74,0.7,0.82,0.61,0.68,0.65
d_0,1.43,2.25,3.0,2.64,2.1,1.89,1.0,0.62,0.77,0.96,0.86,0.82,0.69,0.71,0.7,0.73
c_0,2.25,2.49,1.31,3.84,2.02,2.19,1.16,1.09,0.61,0.83,0.99,0.79,0.69,0.85,0.66,0.79
g_1,2.34,2.41,2.12,2.29,2.35,1.85,0.79,0.93,0.88,0.52,0.84,0.86,0.5,0.75,0.76,0.81
b_0,1.97,2.38,2.13,3.1,3.08,1.94,1.08,0.86,0.5,0.95,0.59,0.73,0.61,0.84,0.64,0.9
f_0,2.12,3.01,2.17,2.41,2.94,2.37,1.11,0.91,0.77,0.71,0.85,0.58,0.8,0.88,0.44,0.82
h_0,2.21,3.11,2.39,2.88,2.4,2.37,1.25,0.98,0.89,1.3,0.98,0.82,0.98,0.8,0.81,0.86
a_0,2.5,2.81,2.74,2.72,3.43,3.39,1.41,1.15,0.87,1.22,0.6,0.88,0.93,0.56,0.72,0.96
g_0,2.51,2.84,2.82,2.67,3.01,2.18,0.99,0.99,0.95,1.78,1.05,1.02,0.68,1.24,0.92,1.1
e_0,3.35,4.32,2.43,2.6,2.84,2.47,1.24,1.06,1.1,1.16,0.95,0.57,0.81,1.06,0.6,0.55
