,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.22,0.89,1.01,0.85,0.7,0.9,0.65,0.71,0.66,0.69,0.68,0.52,0.58,0.6
f_1,1.33,1.0,0.95,0.91,0.8,0.75,0.6,0.67,0.6,0.66,0.62,0.58,0.48,0.58,0.51,0.55
c_1,0.82,1.05,1.0,1.18,1.3,0.76,0.73,0.46,0.53,0.66,0.51,0.56,0.62,0.57,0.59,0.58
d_1,1.14,1.1,0.86,1.0,0.95,0.8,0.71,0.73,0.79,0.58,0.75,0.71,0.6,0.65,0.56,0.46
b_1,0.99,1.25,0.77,1.04,1.0,1.46,0.77,0.7,0.8,0.7,0.55,0.59,0.59,0.58,0.62,0.62
a_1,1.17,1.34,1.3,1.24,0.69,1.0,0.84,0.83,0.78,0.81,0.89,0.68,0.79,0.61,0.61,0.72
h_1,1.33,1.72,1.38,1.44,1.3,1.16,1.0,0.9,0.96,1.07,0.81,0.82,0.76,0.77,0.83,0.91
d_0,1.1,1.49,2.12,1.39,1.43,1.27,1.11,1.0,0.78,0.99,1.01,0.95,0.88,0.84,0.82,0.92
c_0,1.62,1.7,1.64,1.31,1.22,1.25,1.02,1.2,1.0,1.05,1.41,0.92,0.89,0.9,0.85,0.88
g_1,1.39,1.44,1.53,1.75,1.44,1.34,0.88,1.0,0.97,1.0,0.98,1.24,0.76,0.85,0.91,0.88
b_0,1.58,1.51,1.96,1.38,1.7,1.16,1.17,1.05,0.71,1.05,1.0,0.94,0.93,1.19,0.83,0.97
f_0,1.38,1.88,1.79,1.48,1.62,1.57,1.22,1.04,1.03,0.83,1.0,1.0,1.01,0.85,1.14,0.77
h_0,1.53,2.07,1.61,1.62,1.6,1.31,1.3,1.15,1.13,1.28,1.04,1.01,1.0,0.94,0.96,1.02
a_0,1.92,1.72,1.66,1.6,1.82,1.65,1.27,1.19,1.14,1.14,0.82,1.2,1.06,1.0,0.84,1.06
e_0,1.62,2.11,1.66,1.79,1.56,1.51,1.23,1.18,1.15,1.18,1.21,0.85,1.04,1.28,1.0,0.83
g_0,1.68,1.78,1.79,2.17,1.61,1.35,1.15,1.07,1.11,1.1,1.01,1.31,0.96,0.99,1.14,1.0
