,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.33,1.35,0.48,0.46,0.51,0.49,0.79,0.67,0.77,0.87,1.01,0.36,0.99,0.73,0.62,0.74
e_1,0.65,15.68,0.48,0.68,0.52,0.56,0.97,0.72,2.0,0.93,0.84,0.92,0.82,0.97,0.47,0.97
d_1,0.64,0.46,18.44,0.44,0.5,0.53,0.95,0.94,0.42,2.17,1.34,1.02,1.05,1.07,1.22,1.13
c_1,0.52,0.43,0.51,18.06,1.28,0.56,0.84,1.03,0.88,0.28,0.59,0.84,0.88,0.86,0.97,0.78
b_1,0.51,0.46,0.57,0.67,19.24,1.37,0.77,0.84,0.89,0.8,0.4,1.09,1.1,0.72,0.87,0.81
a_1,0.65,0.51,0.69,0.7,0.43,29.47,0.89,0.83,0.92,0.83,0.93,1.12,0.96,0.56,1.0,1.01
h_1,1.15,0.68,0.91,0.69,0.66,0.51,4.83,1.59,1.0,1.26,1.19,1.3,0.61,0.87,1.35,1.68
g_1,0.46,0.45,1.87,0.73,0.85,0.55,1.18,6.16,0.75,1.07,1.2,2.03,1.06,1.24,1.41,0.82
d_0,0.73,0.63,0.39,2.04,0.76,0.75,1.25,1.05,2.72,0.68,0.94,1.24,1.11,1.13,1.15,1.15
c_0,0.88,0.81,1.03,0.42,0.45,0.61,1.16,1.4,0.98,3.03,3.57,1.09,1.52,1.75,1.08,1.47
b_0,0.69,0.86,0.95,0.77,0.35,0.52,1.16,1.2,1.33,1.41,3.87,1.17,1.25,3.83,1.11,1.5
f_0,0.35,0.46,0.99,0.97,0.84,0.87,1.31,1.33,1.09,0.96,1.09,4.23,1.33,1.53,3.93,1.66
h_0,1.11,0.67,0.9,0.65,0.64,0.7,0.73,1.74,0.92,1.07,1.26,1.42,0.68,1.1,1.41,1.99
a_0,0.81,0.64,0.77,0.77,0.88,0.49,1.38,1.19,1.42,1.07,1.54,1.12,1.48,4.21,1.66,1.45
e_0,0.76,0.33,0.79,0.75,0.98,0.84,1.34,1.44,0.91,1.26,1.23,1.53,1.84,1.24,4.86,1.44
g_0,0.59,0.67,1.4,0.8,0.6,0.63,1.01,0.97,0.95,1.02,1.71,2.33,1.35,1.2,1.63,0.76
