,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,93.54,65.63,86.84,145.06,254.15,547.88,9497.14,36560.7,28332.39,33045.79,49981.43,47667.43,113963.42,159799.74,206276.39,173824.54
f_1,86.35,96.32,88.57,119.32,236.4,522.49,8556.57,25411.5,27453.65,35909.18,44465.75,36058.22,99451.67,140597.73,177396.81,137966.92
d_1,59.57,64.56,130.33,88.75,210.3,457.75,8622.29,18535.21,19960.13,48569.34,48235.52,42494.4,101141.68,143757.8,165644.12,167569.69
c_1,46.73,52.25,84.9,153.58,329.18,467.41,8026.56,16139.69,21262.14,22566.03,30987.4,36688.24,76593.4,113990.13,133916.79,160395.42
b_1,38.38,42.14,64.38,64.84,288.47,596.57,6455.27,13582.47,18254.04,24375.75,25802.13,32857.52,57999.09,103945.92,124326.31,123408.67
a_1,33.65,34.55,50.01,60.95,100.64,538.0,5549.03,11844.68,14655.24,19400.13,28290.3,26119.2,46650.76,73386.23,109853.51,88240.35
h_1,15.78,19.8,24.94,26.33,60.9,119.61,2951.28,5316.64,7098.32,8617.53,10331.69,11228.31,24536.44,31997.21,54584.06,48492.09
d_0,9.89,12.52,15.89,34.35,52.34,96.93,1816.38,5302.61,4945.39,5053.68,8626.05,8260.6,19732.0,25830.42,34247.31,36453.49
g_1,10.36,10.04,22.45,21.25,42.28,81.83,1621.65,3797.07,6715.23,6579.14,8872.13,11767.98,19542.08,22977.14,31542.24,38270.06
c_0,11.74,11.81,14.19,21.04,37.26,75.09,1593.97,4669.45,4275.31,7255.59,11973.45,8600.15,21700.49,26634.86,37384.46,31045.57
b_0,9.58,11.2,14.51,20.68,36.2,57.43,1459.73,4064.58,4006.18,4342.85,8835.12,7693.55,26597.96,22684.29,28394.94,29387.1
f_0,8.72,10.24,15.83,19.14,39.52,75.7,1339.32,3694.49,3526.53,5082.12,7257.18,9169.72,17084.23,24695.83,29357.46,48829.95
a_0,7.03,8.0,12.19,17.01,32.19,47.86,1169.69,2935.25,3151.18,3755.88,4603.34,5640.59,17083.95,16996.49,21950.23,26383.14
h_0,7.06,8.65,10.65,13.78,24.79,63.86,1017.86,2836.56,3796.78,3587.11,5047.35,4920.6,12292.0,13984.48,25213.82,19950.46
g_0,5.75,6.54,12.51,12.66,25.2,46.12,955.29,2248.83,2290.45,3339.34,4982.33,5936.35,12613.61,13608.72,17619.61,20802.53
e_0,5.43,7.89,9.72,11.52,26.71,54.92,888.91,2314.88,2574.48,3579.44,4439.23,3803.46,10595.31,15258.99,17269.75,24638.81
