,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.04,1.4,1.7,1.52,1.41,1.18,0.49,0.6,0.48,0.44,0.51,0.39,0.28,0.37,0.38,0.33
d_1,1.76,1.04,1.74,1.54,1.47,1.12,0.56,0.43,0.5,0.48,0.4,0.42,0.33,0.25,0.35,0.33
e_1,1.14,1.53,1.04,1.76,1.49,1.44,0.62,0.63,0.59,0.49,0.55,0.51,0.36,0.36,0.45,0.64
c_1,1.6,1.98,1.42,1.05,1.74,1.2,0.59,0.56,0.33,0.5,0.49,0.4,0.4,0.37,0.39,0.39
b_1,1.91,1.85,1.78,1.18,1.05,1.89,0.73,0.66,0.51,0.6,0.53,0.59,0.41,0.41,0.46,0.46
a_1,2.83,2.82,2.29,2.61,1.47,1.06,1.0,0.85,0.91,0.68,0.74,0.78,0.58,0.56,0.75,0.62
h_1,4.49,4.43,4.04,4.15,3.73,3.53,1.23,1.65,1.28,1.13,1.17,1.16,1.11,0.96,0.91,0.99
g_1,5.23,5.24,4.72,5.31,4.99,3.83,1.61,1.26,1.47,1.42,1.39,1.6,0.96,1.04,1.21,1.21
d_0,5.1,6.46,3.56,6.03,5.56,4.42,2.03,2.26,1.35,1.38,1.58,1.4,1.22,1.19,1.3,1.34
c_0,6.38,4.04,5.47,7.63,5.27,4.83,2.3,1.8,2.24,1.34,1.56,1.83,1.29,1.19,1.51,1.47
f_0,6.83,5.77,5.53,5.81,5.3,4.44,2.2,1.74,1.93,1.58,1.34,1.58,1.26,0.91,1.3,1.64
b_0,7.07,5.53,5.52,7.02,6.54,4.5,2.33,2.01,1.95,1.19,1.72,1.38,1.43,1.21,1.76,1.36
h_0,7.93,6.79,6.94,6.8,7.14,5.67,3.37,2.56,2.33,1.9,1.92,1.8,1.83,1.75,1.62,1.56
g_0,7.67,8.82,7.59,7.95,6.74,6.73,2.65,3.21,2.36,2.37,2.4,2.12,1.53,1.92,1.9,1.77
a_0,7.85,8.21,7.82,8.98,9.16,8.21,3.38,3.15,2.22,1.99,2.42,1.49,2.0,1.67,1.47,1.91
e_0,11.52,8.31,7.85,7.91,7.69,6.23,3.1,2.66,2.7,2.2,1.64,2.52,2.03,1.77,2.33,1.48
