,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.06,1.49,2.0,2.43,2.01,1.93,0.88,0.91,0.86,0.56,0.68,0.68,0.7,0.53,0.52,1.08
f_1,2.37,1.06,1.87,2.05,2.11,1.69,0.69,0.63,0.94,0.62,0.52,0.84,0.55,0.36,0.51,0.39
d_1,2.89,2.71,1.06,2.03,1.92,1.88,0.84,1.15,0.57,0.8,0.67,0.63,0.57,0.5,0.38,0.57
c_1,2.1,2.57,3.15,1.06,2.85,1.92,0.98,0.44,0.88,1.0,0.64,0.63,0.56,0.55,0.46,0.55
b_1,3.54,3.16,3.14,1.8,1.06,3.59,1.15,0.82,1.19,0.87,1.71,1.0,0.79,0.93,0.72,0.84
a_1,3.44,4.49,3.74,4.19,1.85,1.07,1.56,1.14,1.39,1.06,1.43,1.15,1.89,0.79,1.07,0.95
h_1,6.01,5.86,5.41,5.37,5.4,4.61,1.33,1.77,2.05,1.6,1.57,1.58,1.45,1.63,1.24,1.44
d_0,4.08,8.09,9.84,8.59,8.36,5.85,2.98,1.55,2.92,1.8,2.13,1.97,1.81,1.49,1.57,1.85
g_1,6.86,6.64,8.91,6.97,6.18,6.66,2.46,2.01,1.35,2.45,2.24,2.4,2.18,1.23,2.53,1.87
c_0,8.64,7.52,4.85,12.51,8.05,5.86,3.17,3.24,2.47,1.57,2.65,2.41,2.29,2.01,2.0,1.84
b_0,6.72,10.49,7.43,9.22,12.61,6.15,3.29,2.66,2.62,1.47,1.55,2.15,2.66,1.95,1.61,2.33
f_0,7.51,14.95,7.63,8.47,7.28,6.22,3.13,2.67,1.94,2.23,2.33,1.49,2.36,1.93,1.34,2.56
a_0,8.87,10.65,9.34,11.9,11.18,11.63,4.05,3.45,3.43,2.94,1.73,2.41,1.56,2.34,2.03,2.68
h_0,8.74,11.63,9.43,11.34,8.54,7.87,5.09,3.2,4.53,2.62,3.0,2.94,2.47,3.11,2.29,2.36
g_0,10.47,12.34,10.88,13.42,10.46,6.42,3.81,3.45,4.02,2.5,2.93,3.2,3.05,1.94,2.95,2.38
e_0,13.16,17.59,10.68,11.03,9.82,8.87,4.1,3.44,3.31,3.56,3.01,1.92,3.07,2.69,2.72,1.66
