,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.65,3.74,2.11,2.28,2.0,1.63,7.34,10.31,9.17,8.02,9.95,5.99,15.44,10.47,7.76,12.68
e_1,2.64,6.0,1.96,2.49,2.21,2.26,8.48,18.16,8.96,7.71,12.58,10.18,17.66,10.57,9.61,15.0
d_1,2.38,2.28,6.94,1.78,2.14,2.16,8.24,7.23,20.43,8.93,12.04,12.48,16.7,13.57,12.34,18.35
c_1,2.04,1.96,2.14,6.89,4.21,2.49,7.26,9.15,5.39,6.14,7.31,10.67,14.27,10.57,12.21,15.14
b_1,1.96,2.15,2.09,2.44,7.3,4.45,8.47,10.02,8.67,7.76,7.51,11.55,16.01,7.33,11.45,17.6
a_1,2.31,2.14,2.77,2.42,1.98,10.81,9.01,10.11,10.05,9.93,9.52,10.56,15.57,8.23,13.7,15.23
h_1,3.28,2.04,2.87,2.75,1.96,2.03,17.89,10.48,10.05,11.88,11.69,10.97,11.34,14.08,13.45,22.06
d_0,2.48,1.99,1.61,4.77,2.55,2.34,9.52,17.48,7.73,9.61,10.36,11.87,18.65,12.15,12.38,15.33
c_0,2.79,2.66,2.68,2.39,1.74,2.32,9.52,9.88,18.8,10.12,23.19,10.95,17.81,17.42,13.75,19.06
g_1,2.19,2.24,4.01,2.63,2.25,2.13,8.1,10.34,10.53,22.15,12.5,18.56,18.15,10.74,12.68,13.2
b_0,2.83,2.23,2.9,2.91,1.39,2.51,9.05,12.68,10.86,8.31,21.05,10.24,19.88,25.39,12.07,16.48
f_0,1.93,1.55,3.11,2.88,2.63,2.7,11.39,10.11,13.12,9.62,14.67,24.59,18.7,15.25,30.05,21.11
h_0,3.23,2.44,2.61,2.5,2.21,2.8,6.17,10.28,10.26,12.7,12.64,11.71,13.0,9.76,11.87,22.41
a_0,2.73,2.37,2.82,2.85,2.49,1.48,10.88,10.67,12.05,10.45,13.82,11.75,19.23,26.84,12.46,17.98
e_0,2.55,1.64,2.77,2.94,2.46,3.0,10.62,9.42,12.13,9.71,13.92,10.21,21.14,14.08,28.24,21.3
g_0,2.35,1.82,4.24,2.48,1.9,2.62,9.74,8.84,12.2,7.66,14.25,18.22,17.67,12.89,16.08,16.6
