,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.57,0.93,1.09,0.97,0.79,0.26,0.2,0.19,0.29,0.18,0.27,0.13,0.16,0.24,0.13
f_1,0.86,0.42,0.88,1.03,0.91,0.69,0.19,0.18,0.17,0.31,0.2,0.24,0.11,0.17,0.17,0.16
d_1,1.05,1.03,0.4,1.04,0.93,0.94,0.23,0.28,0.18,0.17,0.18,0.18,0.13,0.18,0.17,0.09
c_1,0.83,0.95,1.52,0.39,1.0,0.98,0.31,0.13,0.33,0.3,0.2,0.2,0.13,0.17,0.21,0.15
b_1,1.13,1.3,1.13,0.61,0.37,1.06,0.33,0.23,0.3,0.38,0.35,0.24,0.16,0.24,0.2,0.16
a_1,1.29,1.46,1.26,1.18,0.63,0.33,0.43,0.28,0.27,0.35,0.32,0.27,0.21,0.4,0.25,0.2
h_1,1.88,1.63,1.62,1.91,1.67,1.36,0.29,0.41,0.34,0.49,0.37,0.35,0.28,0.33,0.29,0.23
d_0,1.29,1.7,2.91,1.91,2.04,1.71,0.63,0.32,0.46,0.67,0.41,0.46,0.31,0.42,0.46,0.38
c_0,2.32,2.11,1.18,3.1,1.92,1.88,0.51,0.57,0.29,0.5,0.38,0.38,0.27,0.41,0.39,0.25
g_1,2.0,2.09,1.86,2.02,1.73,2.11,0.45,0.45,0.39,0.25,0.43,0.37,0.21,0.34,0.35,0.33
b_0,1.9,2.03,1.62,2.51,2.59,2.05,0.58,0.46,0.26,0.58,0.29,0.41,0.28,0.43,0.35,0.27
f_0,2.17,2.6,1.95,2.28,1.81,2.21,0.55,0.44,0.43,0.39,0.41,0.27,0.27,0.35,0.35,0.18
h_0,2.27,2.67,2.32,2.49,2.52,2.27,0.87,0.48,0.56,0.66,0.51,0.46,0.45,0.48,0.46,0.33
a_0,2.41,2.5,2.55,2.99,3.07,2.65,0.65,0.59,0.42,0.87,0.31,0.52,0.4,0.26,0.45,0.31
e_0,3.59,3.74,2.6,2.48,2.04,2.23,0.91,0.59,0.54,0.53,0.56,0.29,0.37,0.5,0.26,0.31
g_0,2.9,2.66,2.61,2.69,2.66,2.24,0.61,0.6,0.54,0.89,0.56,0.57,0.31,0.5,0.54,0.42
