,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.92,1.56,0.85,1.65,1.35,1.11,5.69,4.83,11.97,6.34,6.14,6.7,9.87,6.31,2.78,8.56
f_1,2.45,6.05,1.27,1.28,0.87,1.13,3.98,3.76,4.86,6.64,1.91,6.2,8.96,5.79,5.22,7.1
d_1,1.25,1.4,6.56,1.16,1.31,1.31,4.72,5.15,2.12,12.26,6.21,7.46,10.41,6.74,6.56,9.04
c_1,1.08,1.19,1.39,6.78,2.31,1.02,4.81,3.74,6.29,1.74,6.52,5.17,9.08,6.28,6.39,10.45
b_1,1.19,1.12,1.47,1.04,6.88,2.48,3.82,5.07,5.74,5.98,8.44,2.44,9.39,5.0,6.78,9.81
a_1,1.22,1.34,1.56,1.2,1.17,10.06,5.18,5.22,5.49,6.61,6.44,6.4,9.87,1.93,8.95,9.25
h_1,1.37,2.23,1.71,1.61,1.55,1.51,15.84,7.35,7.51,6.15,6.05,7.45,5.23,6.49,9.17,15.4
g_1,1.31,1.28,2.36,1.83,1.74,1.24,6.26,18.54,5.27,7.21,11.76,6.76,8.9,7.65,7.23,5.25
d_0,1.53,1.75,0.84,3.21,1.37,1.55,5.79,6.11,15.75,6.32,7.13,7.89,11.34,7.06,7.38,11.14
c_0,1.89,1.79,1.75,0.96,1.14,1.72,6.48,5.43,6.89,15.63,7.43,16.05,10.77,9.83,6.67,10.94
f_0,1.09,0.96,1.8,1.87,2.14,1.68,6.75,6.52,7.62,5.67,18.99,6.24,12.89,8.07,17.76,15.46
b_0,1.49,1.77,1.77,2.0,1.06,1.04,5.24,6.18,8.32,9.03,8.71,19.71,12.55,17.86,8.49,11.92
h_0,1.49,2.11,1.82,1.47,1.47,1.53,2.78,9.15,8.42,7.18,8.06,8.33,5.58,9.45,8.05,14.46
a_0,1.68,1.55,1.64,1.74,1.88,0.44,6.03,7.28,6.55,8.28,9.29,6.65,11.77,26.09,8.41,16.06
e_0,0.75,1.92,2.24,1.56,1.55,1.62,7.45,6.25,6.84,9.37,7.0,7.84,14.78,8.22,24.77,11.07
g_0,1.21,1.45,3.02,1.56,1.56,1.77,5.28,3.99,5.51,7.17,13.51,7.15,11.64,5.82,12.35,7.54
