,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,3.77,4.16,3.9,3.55,3.93,0.82,0.86,1.52,0.88,0.78,4.61,0.44,0.86,1.16,0.67
e_1,2.3,0.44,4.09,4.81,4.67,5.32,1.34,1.04,1.45,1.02,0.86,0.92,0.62,0.96,7.63,0.72
c_1,5.23,4.55,0.42,5.03,4.81,4.37,1.21,0.5,1.12,2.3,0.84,0.85,0.71,0.83,0.72,0.58
d_1,5.58,5.33,4.5,0.41,4.43,4.54,1.19,2.84,0.85,0.77,0.95,0.97,0.67,0.95,0.65,0.45
b_1,4.56,6.0,2.72,5.34,0.39,4.5,1.73,1.14,1.31,1.13,3.99,0.84,0.77,1.04,0.89,0.76
a_1,6.04,6.21,5.92,6.03,3.06,0.33,2.04,1.36,2.19,1.46,1.46,1.49,0.8,9.82,1.19,0.74
h_1,5.18,4.42,5.97,4.98,4.57,4.67,0.36,1.12,1.59,0.91,0.94,0.92,1.69,1.06,1.0,0.76
d_0,7.02,2.57,6.67,11.59,7.58,5.57,1.79,0.45,1.98,1.06,1.1,1.1,0.99,1.08,1.05,0.93
g_1,7.1,5.6,7.64,4.86,6.66,5.54,1.28,1.2,0.32,1.21,1.5,1.06,0.65,1.3,0.99,1.68
c_0,5.68,4.51,19.62,3.24,8.46,5.9,1.43,1.19,1.99,0.42,1.28,1.36,1.08,1.01,0.97,0.98
b_0,5.61,5.78,6.45,4.63,30.78,6.51,1.53,1.13,1.42,0.56,0.4,1.02,0.67,1.47,1.28,0.96
f_0,32.13,5.53,6.59,8.26,5.14,4.53,2.01,1.3,0.94,1.72,1.29,0.38,0.88,1.32,1.29,0.59
h_0,7.4,7.8,7.41,5.71,6.85,7.73,4.71,1.31,1.95,1.25,1.21,1.12,2.95,1.18,1.07,1.08
a_0,7.62,7.33,7.69,6.33,8.28,,2.06,1.46,1.42,1.29,0.67,0.96,1.02,0.35,1.29,1.21
e_0,10.41,,8.53,8.7,10.28,5.6,1.88,1.23,1.87,1.24,1.27,0.54,0.99,1.31,0.35,0.76
g_0,7.07,7.65,8.55,6.26,6.28,11.26,2.42,2.02,4.72,1.85,1.55,1.7,0.84,1.58,2.35,3.4
