,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,34.61,0.06,0.05,0.06,0.07,0.07,0.37,0.76,0.26,,0.36,0.34,0.56,0.37,0.44,0.39
f_1,0.05,37.2,0.12,0.06,0.07,0.08,0.31,0.33,0.26,0.47,0.42,,0.59,0.3,0.33,0.38
e_1,0.08,0.07,38.52,0.06,0.07,0.08,0.24,0.33,0.19,0.68,0.35,0.42,0.57,0.29,0.43,
c_1,0.07,0.07,0.07,46.69,0.13,0.07,0.19,,0.29,0.39,0.27,0.24,0.69,0.3,0.62,0.49
b_1,0.07,0.06,0.06,0.06,51.28,0.12,0.3,0.41,0.23,0.35,,0.48,0.65,0.31,0.56,0.26
a_1,0.06,0.09,0.06,0.07,,74.13,0.24,0.4,0.3,0.31,0.53,0.39,0.55,,0.61,
h_1,0.23,0.31,0.26,0.35,0.2,0.21,27.37,1.59,1.58,1.47,1.25,1.22,,1.64,2.91,1.08
c_0,0.29,0.28,0.31,,0.33,0.31,1.68,16.45,1.23,2.27,3.64,2.0,2.81,2.41,3.41,1.78
g_1,0.38,0.17,0.22,0.33,0.22,0.27,1.11,1.28,33.58,0.67,1.47,2.6,2.37,1.47,,1.33
d_0,,0.35,0.45,0.69,0.45,0.32,1.47,1.77,1.48,18.68,2.18,1.71,3.09,1.08,1.72,1.38
b_0,0.25,0.39,0.36,0.4,,0.33,1.5,1.74,1.65,1.09,19.34,2.15,3.17,3.87,3.16,2.0
f_0,0.37,,0.24,0.37,0.29,0.28,1.28,2.43,1.92,2.52,1.44,20.94,2.24,1.45,3.66,5.04
h_0,0.59,0.77,0.6,0.41,0.43,0.45,,2.02,2.23,3.15,2.91,2.91,,3.75,7.57,3.0
a_0,0.34,0.3,0.25,0.24,0.41,,2.04,1.72,1.21,1.55,1.1,1.81,4.52,28.2,4.26,2.49
g_0,0.92,0.56,0.36,0.59,0.44,0.43,1.83,3.01,,2.78,2.75,4.27,4.63,2.23,,3.37
e_0,0.34,0.42,,0.24,0.46,0.35,2.17,1.7,2.14,2.02,2.14,1.86,2.86,2.15,2.27,27.92
