,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.41,1.11,1.02,1.19,0.79,0.8,0.89,0.84,0.77,1.02,,1.02,0.96,1.0,1.05
e_1,0.71,1.0,1.07,0.87,1.03,0.9,0.92,1.32,1.17,1.43,1.0,0.89,1.09,0.87,,0.92
c_1,0.9,0.93,1.0,1.22,1.32,1.08,1.07,0.8,0.89,,0.88,0.95,1.18,1.16,0.89,0.89
d_1,0.98,1.14,0.82,1.0,1.06,0.91,1.06,,0.75,1.61,1.0,0.96,0.95,1.05,0.97,0.82
b_1,0.84,0.97,0.76,0.94,1.0,1.44,1.4,0.99,1.0,1.07,,1.25,1.01,1.0,1.15,0.68
a_1,1.26,1.11,0.92,1.1,0.7,1.0,1.0,0.9,,0.84,,1.03,1.07,,,1.0
h_1,1.25,1.09,0.94,0.95,0.72,1.0,1.0,0.83,1.35,1.05,0.84,0.87,,0.92,1.13,1.19
d_0,1.12,0.76,1.25,,1.01,1.11,1.2,1.0,0.96,0.81,1.19,0.84,0.86,0.94,0.87,1.36
g_1,1.19,0.86,1.12,1.33,1.0,,0.74,1.04,1.0,1.14,0.87,1.15,0.74,1.03,1.0,
c_0,1.3,0.7,,0.62,0.94,1.2,0.95,1.23,0.88,1.0,1.25,1.05,1.12,1.24,0.81,0.95
b_0,0.98,1.0,1.14,1.0,,,1.2,0.84,1.15,0.8,1.0,1.12,1.15,1.25,0.97,1.0
f_0,,1.12,1.05,1.04,0.8,0.97,1.15,1.19,0.87,0.96,0.89,1.0,0.94,1.0,1.39,0.87
h_0,0.98,0.91,0.85,1.05,0.99,0.94,,1.17,1.35,0.89,0.87,1.07,,0.93,0.83,1.21
a_0,1.04,1.15,0.86,0.95,1.0,,1.08,1.07,0.97,0.81,0.8,1.0,1.08,1.0,,1.0
e_0,1.0,,1.12,1.03,0.87,,0.88,1.15,1.0,1.24,1.03,0.72,1.21,,1.0,1.15
g_0,0.95,1.08,1.13,1.22,1.47,1.0,0.84,0.74,,1.05,1.0,1.15,0.83,1.0,0.87,
