,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.9,0.98,0.92,0.81,0.49,0.63,0.57,0.61,0.57,0.54,0.52,0.54,0.41,0.56
e_1,0.79,1.0,1.0,1.08,1.02,0.89,0.75,0.87,0.58,0.68,0.57,0.66,0.55,0.67,0.63,0.56
d_1,1.11,0.98,1.0,1.04,0.96,0.83,0.63,0.62,0.92,0.52,0.71,0.6,0.58,0.52,0.57,0.44
c_1,1.02,0.94,0.96,1.0,1.37,0.87,0.74,0.46,0.65,0.6,0.52,0.58,0.61,0.49,0.57,0.57
b_1,1.08,0.97,1.05,0.73,1.0,1.3,0.83,0.73,0.74,0.8,0.77,0.61,0.68,0.55,0.53,0.58
a_1,1.25,1.12,1.22,1.15,0.77,1.0,1.15,0.93,0.75,0.87,0.88,0.84,0.75,0.72,0.77,0.79
h_1,1.96,1.33,1.55,1.35,1.21,0.91,1.0,0.85,0.93,1.11,0.98,0.8,0.82,0.8,0.78,0.89
d_0,1.51,1.16,1.8,2.25,1.46,1.08,1.12,1.0,0.72,0.9,0.91,0.98,0.94,0.82,0.89,0.91
c_0,1.71,1.75,1.05,1.47,1.38,1.32,1.08,1.45,1.0,1.07,1.38,0.84,0.89,0.93,0.84,0.92
g_1,1.55,1.48,1.99,1.57,1.35,1.13,0.9,1.03,0.94,1.0,0.97,1.23,0.87,0.84,0.93,0.92
b_0,1.91,1.74,1.43,1.98,1.28,1.12,0.99,1.07,0.75,1.15,1.0,0.95,0.93,1.18,0.97,0.98
f_0,2.0,1.39,1.65,1.76,1.61,1.22,1.17,1.07,1.14,0.84,1.02,1.0,1.04,0.83,1.4,0.69
h_0,1.94,1.73,1.65,1.65,1.55,1.4,1.22,1.14,1.13,1.15,1.1,0.97,1.0,0.86,0.82,1.16
a_0,1.78,1.6,1.84,1.91,1.84,1.33,1.19,1.17,1.19,1.13,0.88,1.13,1.22,1.0,0.91,1.07
e_0,2.48,1.71,1.82,1.8,2.01,1.34,1.29,1.08,1.18,1.03,1.1,0.71,1.31,1.08,1.0,0.96
g_0,1.83,1.78,2.17,1.79,1.81,1.23,1.08,1.13,1.07,1.12,1.03,1.39,0.86,0.99,1.13,1.0
