,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.54,0.65,0.35,0.68,0.46,0.56,0.86,0.86,2.16,0.78,1.17,1.07,1.13,0.87,0.49,1.01
f_1,1.25,17.7,0.47,0.41,0.49,0.44,0.83,0.73,0.95,1.04,0.87,0.24,0.83,1.0,0.58,0.75
d_1,0.43,0.65,20.19,0.41,0.59,0.52,0.85,0.86,0.32,2.01,1.16,0.89,1.1,0.98,1.19,0.96
c_1,0.38,0.47,0.67,18.35,1.2,0.43,0.94,0.83,0.77,0.21,0.63,0.96,0.82,0.94,0.89,0.94
b_1,0.46,0.46,0.62,0.45,21.52,1.39,0.79,0.9,0.78,0.94,0.32,0.99,0.81,0.7,0.75,0.83
a_1,0.53,0.56,0.54,0.76,0.39,30.79,0.98,0.83,0.81,0.66,0.71,1.05,1.01,0.3,0.88,0.86
h_1,0.61,1.0,0.68,0.74,0.78,0.5,5.93,1.52,0.93,1.07,1.27,0.93,0.55,1.1,1.32,1.45
g_1,0.46,0.49,1.37,0.68,0.59,0.58,0.84,6.76,0.81,1.35,0.98,2.61,1.16,1.12,1.49,0.89
d_0,0.72,0.67,0.3,2.17,0.44,0.54,1.15,1.07,2.83,0.85,1.47,1.19,1.24,1.19,1.34,1.37
c_0,0.75,0.7,0.85,0.47,0.5,0.57,1.29,1.11,1.28,3.58,2.65,1.34,1.58,1.38,1.69,1.73
b_0,0.67,0.74,0.91,0.78,0.18,0.42,1.25,1.22,1.27,1.24,4.32,1.54,1.49,3.15,1.46,1.72
f_0,0.66,0.35,0.91,0.71,0.68,0.58,1.04,1.24,0.99,1.07,1.41,3.75,1.4,1.29,4.06,1.57
h_0,0.6,1.27,0.61,0.67,0.58,0.66,0.71,1.75,0.92,1.14,1.3,1.3,0.8,1.48,1.4,1.84
a_0,0.77,0.68,0.78,0.84,0.75,0.33,1.3,1.24,1.16,1.04,1.24,1.34,1.33,4.97,1.27,1.44
e_0,0.25,0.73,0.8,1.02,0.6,0.78,1.46,1.02,1.41,1.4,1.93,1.26,1.25,1.35,5.64,1.36
g_0,0.61,0.58,1.42,0.62,0.55,0.81,1.15,0.77,0.99,1.2,1.46,2.26,1.53,1.27,1.22,0.43
