,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.73,1.29,0.78,0.75,0.72,0.65,0.9,0.77,0.97,0.87,1.03,0.65,0.91,0.88,0.7,0.92
e_1,0.86,1.74,0.71,1.01,0.78,0.75,0.97,0.83,1.52,1.0,0.97,0.94,0.95,0.98,0.74,1.01
d_1,0.89,0.77,1.99,0.66,0.73,0.72,1.04,1.0,0.7,1.69,1.26,1.04,1.07,1.13,1.13,1.13
c_1,0.82,0.73,0.78,1.94,1.36,0.78,0.93,1.04,0.94,0.56,0.63,0.95,0.93,0.89,0.98,0.79
b_1,0.8,0.73,0.83,0.84,2.09,1.5,0.86,0.95,0.87,0.85,0.72,1.03,0.99,0.74,1.02,0.83
a_1,0.88,0.76,0.85,0.89,0.77,2.91,1.02,0.99,0.95,1.02,0.94,1.06,1.1,0.97,1.01,1.03
h_1,1.09,0.88,1.02,0.82,0.76,0.71,1.73,1.33,0.88,0.96,1.1,1.12,0.85,0.88,1.1,1.35
g_1,0.71,0.65,1.4,0.87,0.88,0.78,1.05,2.08,0.81,1.02,0.96,1.5,1.06,1.03,1.25,0.96
d_0,0.9,0.84,0.65,1.45,0.92,0.83,1.07,0.99,1.3,0.65,0.87,1.04,0.96,0.87,1.05,0.93
c_0,0.95,0.95,1.09,0.72,0.59,0.72,1.15,1.14,0.98,1.53,1.94,1.06,1.25,1.41,1.12,1.31
b_0,0.89,0.94,1.03,0.92,0.62,0.68,1.12,1.1,1.04,1.09,1.7,1.06,1.16,2.01,1.07,1.22
f_0,0.65,0.64,1.03,1.02,0.9,1.03,1.11,1.26,0.91,0.87,1.14,1.85,1.21,1.19,2.35,1.29
h_0,1.09,0.87,0.99,0.79,0.78,0.77,0.91,1.29,0.86,1.01,1.06,1.06,0.94,0.99,1.08,1.34
a_0,0.94,0.81,0.9,0.88,0.87,0.81,1.14,1.14,1.1,0.92,1.14,1.08,1.13,2.0,1.11,1.15
e_0,0.99,0.69,0.89,0.87,1.0,0.9,1.08,1.15,0.93,0.92,1.17,1.24,1.28,1.12,2.17,1.13
g_0,0.81,0.85,1.25,0.85,0.74,0.8,1.04,1.02,0.88,0.99,1.23,1.71,1.08,1.06,1.33,1.0
