,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.62,1.12,0.51,0.53,0.52,0.68,2.03,2.51,1.91,2.54,3.42,0.6,4.89,2.95,4.29,2.08
e_1,0.67,5.96,0.46,0.65,0.53,0.39,2.26,3.18,2.06,5.42,2.89,3.29,5.06,3.1,4.39,1.09
d_1,0.6,0.54,6.11,0.59,0.7,0.45,2.56,5.19,1.98,0.55,2.6,2.85,3.89,2.81,4.37,3.8
c_1,0.63,0.46,0.67,6.35,1.14,0.63,2.38,0.64,1.81,2.9,2.3,2.76,4.47,2.14,4.89,3.04
b_1,0.56,0.52,0.71,0.71,7.71,1.12,2.25,2.79,1.96,2.77,0.71,2.71,3.92,3.05,3.27,2.54
a_1,0.46,0.62,0.6,0.69,0.53,11.53,2.39,3.09,2.71,3.25,2.89,3.03,4.47,0.72,3.25,2.93
h_1,1.35,0.98,1.21,0.88,0.94,1.19,14.29,4.48,5.02,4.48,5.82,5.08,2.82,4.53,10.42,5.15
c_0,1.28,1.0,1.01,0.54,0.88,0.91,4.19,13.62,5.27,5.94,11.1,6.67,8.1,5.99,6.98,6.49
g_1,0.99,0.98,1.55,1.03,0.97,0.88,2.87,4.17,19.26,3.48,4.8,7.61,5.74,4.39,2.24,5.18
d_0,1.16,0.97,0.28,1.92,0.95,0.75,4.57,3.92,4.3,14.18,6.15,5.35,6.5,6.14,9.77,6.76
b_0,1.4,1.13,0.98,1.2,0.28,0.95,3.06,5.23,4.8,5.25,17.47,7.06,7.89,13.29,8.48,6.17
f_0,0.4,0.82,1.16,1.32,1.17,1.15,4.25,5.53,4.26,5.85,5.32,17.92,7.6,6.92,7.75,13.54
h_0,1.74,0.97,1.06,1.1,0.7,0.95,0.98,4.86,5.56,5.06,4.94,4.88,3.16,5.34,8.22,4.28
a_0,1.09,0.86,1.63,1.13,0.87,,3.82,4.79,3.34,5.95,4.54,6.45,9.5,21.31,6.83,6.66
g_0,0.83,0.97,1.66,1.0,1.05,0.84,3.7,4.81,2.03,5.09,4.72,9.0,7.12,4.61,3.28,5.33
e_0,1.2,0.36,1.3,1.22,1.32,1.19,3.43,6.92,3.2,5.86,4.72,6.91,8.06,3.52,7.1,24.59
