,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.89,0.35,0.19,0.17,0.13,0.08,0.15,0.15,0.12,0.15,0.05,0.13,0.08,0.17,0.07,0.13
e_1,0.2,0.89,0.14,0.21,0.17,0.11,0.18,0.33,0.13,0.16,0.16,0.15,0.12,0.16,0.04,0.11
d_1,0.21,0.23,0.89,0.12,0.12,0.11,0.17,0.07,0.12,0.32,0.16,0.18,0.1,0.15,0.13,0.13
c_1,0.19,0.15,0.16,0.89,0.29,0.09,0.17,0.19,0.11,0.05,0.15,0.11,0.1,0.15,0.12,0.15
b_1,0.22,0.15,0.2,0.16,0.88,0.19,0.16,0.15,0.12,0.13,0.17,0.05,0.1,0.14,0.11,0.12
a_1,0.23,0.18,0.18,0.18,0.16,0.87,0.18,0.18,0.12,0.15,0.14,0.16,0.06,0.13,0.1,0.11
h_1,0.31,0.22,0.24,0.21,0.17,0.11,0.57,0.18,0.23,0.21,0.16,0.16,0.13,0.11,0.1,0.21
d_0,0.24,0.21,0.11,0.46,0.18,0.08,0.22,0.41,0.14,0.15,0.16,0.19,0.13,0.19,0.13,0.18
g_1,0.17,0.22,0.38,0.17,0.17,0.13,0.2,0.17,0.55,0.16,0.23,0.19,0.13,0.19,0.13,0.1
c_0,0.3,0.22,0.23,0.11,0.15,0.12,0.26,0.19,0.19,0.42,0.22,0.37,0.2,0.2,0.15,0.17
f_0,0.15,0.2,0.26,0.27,0.18,0.13,0.23,0.22,0.18,0.22,0.42,0.22,0.17,0.21,0.3,0.16
b_0,0.28,0.23,0.27,0.22,0.12,0.06,0.24,0.19,0.16,0.21,0.21,0.43,0.33,0.2,0.12,0.16
a_0,0.24,0.24,0.29,0.21,0.2,0.03,0.25,0.19,0.18,0.2,0.22,0.16,0.36,0.2,0.14,0.17
h_0,0.33,0.23,0.27,0.26,0.17,0.11,0.12,0.2,0.19,0.19,0.16,0.17,0.13,0.09,0.14,0.21
e_0,0.21,0.12,0.25,0.26,0.22,0.15,0.22,0.19,0.16,0.19,0.18,0.17,0.16,0.2,0.38,0.16
g_0,0.19,0.23,0.36,0.23,0.14,0.12,0.24,0.18,0.09,0.18,0.34,0.16,0.14,0.18,0.15,0.09
