,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.95,4.37,2.54,2.8,2.56,2.34,9.57,10.13,13.62,11.79,9.35,13.43,20.43,13.95,10.61,19.95
e_1,2.82,6.03,2.24,3.62,3.24,2.82,9.66,10.15,21.92,11.98,14.45,13.01,20.79,15.35,11.83,21.1
d_1,2.92,2.6,6.26,2.4,2.73,2.57,10.18,11.3,9.63,23.96,14.75,18.04,22.03,17.13,16.82,23.54
c_1,2.71,2.61,2.66,7.03,5.16,2.92,10.07,9.82,11.57,7.73,14.04,8.86,17.48,13.11,15.02,18.28
b_1,2.96,2.71,2.58,2.6,8.1,5.83,11.04,10.28,12.2,10.39,12.05,9.0,21.34,10.71,14.31,19.91
a_1,3.14,2.91,3.05,2.61,2.61,11.5,11.67,12.33,10.43,13.73,14.02,15.22,22.37,8.84,13.73,20.83
h_1,3.9,2.83,3.16,3.08,3.08,3.14,19.13,13.87,13.29,10.65,12.14,11.56,15.5,12.72,14.31,28.72
g_1,2.91,2.75,4.08,3.21,2.81,2.9,11.23,20.63,11.11,14.16,18.5,13.13,19.72,16.39,16.09,19.44
d_0,2.82,2.81,1.98,5.28,3.72,3.75,10.69,11.11,19.95,8.71,14.83,11.82,18.81,15.07,14.24,21.0
c_0,3.28,2.94,3.56,2.84,2.38,2.71,11.4,11.67,13.12,21.92,13.8,26.59,23.38,20.82,17.68,25.28
f_0,2.6,2.44,3.48,3.2,3.54,3.14,12.71,11.64,13.74,16.01,23.1,13.57,22.04,13.54,33.08,26.83
b_0,3.51,2.44,3.46,3.67,2.35,2.47,11.18,11.3,14.16,13.76,14.21,23.8,25.35,29.78,18.26,27.28
h_0,3.87,3.01,3.05,3.02,2.78,2.72,8.75,15.17,12.93,13.37,13.88,15.28,17.73,18.73,14.35,28.17
a_0,3.18,2.62,3.56,3.31,3.56,2.24,13.09,10.7,13.05,14.38,14.09,13.12,23.15,29.51,17.49,24.88
e_0,3.39,2.35,3.31,3.29,3.09,3.54,12.73,11.86,13.4,14.26,15.16,15.49,27.31,16.38,28.35,20.38
g_0,2.71,2.57,4.16,2.82,3.42,2.74,10.06,9.83,10.92,16.37,21.35,15.52,22.33,16.38,19.75,20.27
