,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,17.56,0.47,0.61,0.43,0.48,0.44,1.03,0.9,2.16,0.32,1.33,1.05,0.93,1.19,1.1,1.15
e_1,0.37,17.5,0.57,0.67,0.58,0.6,0.81,0.79,0.84,2.1,0.94,1.04,1.05,1.18,0.33,0.93
f_1,0.48,1.11,18.21,0.55,0.5,0.4,0.63,0.69,0.81,0.75,0.99,0.35,1.0,0.7,0.65,0.57
c_1,0.57,0.48,0.49,21.54,1.11,0.51,0.9,0.73,0.24,0.85,0.55,0.88,0.86,0.61,0.62,0.99
b_1,0.57,0.42,0.52,0.48,23.31,1.25,0.97,0.8,0.74,0.71,0.37,0.85,0.64,0.56,1.22,0.94
a_1,0.61,0.55,0.59,0.51,0.37,32.87,0.84,1.02,0.79,1.11,0.89,1.17,1.29,0.49,1.19,1.05
h_1,0.63,0.5,1.0,0.72,0.71,0.73,5.58,1.56,1.0,1.13,1.16,1.12,0.59,0.93,1.43,1.8
g_1,1.45,0.47,0.31,0.85,0.65,0.63,0.95,6.92,1.07,0.75,1.04,1.96,1.13,1.24,1.59,0.68
c_0,0.87,0.73,0.67,0.35,0.59,0.69,0.94,1.24,3.03,1.27,2.98,1.28,1.52,1.57,1.33,1.23
d_0,0.21,0.72,0.71,1.88,0.59,0.61,1.12,1.31,0.77,3.25,0.94,1.19,1.16,1.12,1.43,1.25
b_0,0.89,0.75,0.79,0.54,0.25,0.54,1.24,1.15,1.33,1.16,3.94,1.05,1.44,3.55,1.13,1.5
f_0,0.86,0.46,0.31,0.72,0.68,0.95,1.44,1.57,1.35,1.16,1.21,3.95,1.57,1.15,3.72,1.12
h_0,0.91,0.62,1.23,0.77,0.73,0.5,0.52,1.52,1.21,1.07,0.8,0.89,0.48,1.42,0.82,1.61
a_0,0.8,0.7,0.7,0.79,0.59,0.28,1.41,1.27,1.38,1.33,1.28,1.31,1.58,4.5,1.18,1.18
e_0,0.83,0.29,0.76,0.89,0.66,0.73,1.59,1.13,1.15,1.15,1.22,1.19,1.72,1.31,5.5,1.3
g_0,1.58,0.5,0.66,0.64,0.58,0.61,1.06,0.72,1.22,0.95,1.07,2.05,1.17,1.42,1.24,0.84
