,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,106.7,93.19,84.5,99.84,114.64,370.16,7682.78,22213.19,21892.16,24771.42,29204.09,38402.83,100937.05,136420.93,92975.51,236158.64
e_1,59.68,106.66,70.85,124.74,131.5,436.6,8909.25,37493.55,22148.37,25469.79,42277.58,40235.36,121059.3,147683.55,107923.53,228895.23
d_1,64.59,65.69,134.99,69.55,99.08,438.7,8343.56,17264.58,16694.05,38653.53,37977.03,41227.64,101930.16,128158.75,116922.17,196507.83
c_1,53.52,45.17,80.32,147.9,178.92,413.96,6972.59,17647.56,18994.35,15759.44,34628.53,27261.92,96812.5,114530.14,111070.98,203376.81
b_1,53.85,47.61,72.23,63.05,188.18,637.1,6553.74,17016.24,16075.14,19461.99,33603.51,22947.02,79774.14,116790.54,99568.42,195953.44
a_1,39.56,36.42,45.95,49.82,53.51,532.33,5070.65,13359.6,12060.72,14607.1,21656.13,26343.16,60245.89,77673.69,61422.52,113905.08
h_1,20.11,15.77,22.9,25.01,30.81,97.06,3040.37,5175.1,6727.12,6561.41,9967.11,9474.21,28162.21,32984.03,28970.48,74060.48
d_0,12.86,9.39,14.01,29.76,27.25,72.23,1746.92,5464.41,3995.09,3970.04,6582.56,7983.09,21144.67,28433.92,24843.11,48855.57
g_1,10.89,10.99,23.84,17.8,21.34,76.92,1471.5,4040.68,6336.05,4857.36,9086.16,7806.46,23174.05,24129.91,25148.51,40256.9
c_0,14.13,11.7,14.89,15.28,20.43,71.9,1787.33,4120.46,4495.78,6323.68,7533.73,11828.35,27646.49,28188.62,24900.56,46033.51
f_0,8.76,9.19,15.08,17.13,21.44,71.28,1520.14,3811.29,3609.59,4267.99,8593.68,7542.11,22268.61,23504.32,38141.94,33471.78
b_0,11.35,10.26,15.01,16.96,18.79,52.71,1459.39,3418.41,3433.96,3831.03,5989.71,8876.59,34493.88,23845.98,20143.09,35996.98
a_0,8.19,7.28,10.91,10.87,15.38,34.23,1128.47,2628.93,2434.08,3151.11,4569.51,4086.49,19106.2,17248.84,15131.57,29571.99
h_0,9.33,6.67,10.73,11.88,13.23,48.17,771.08,2367.82,2933.61,2754.65,4068.59,4414.98,11905.37,13435.08,13503.74,31807.29
e_0,7.49,5.35,10.1,12.17,16.5,51.49,983.28,2240.83,2645.09,2924.22,3810.33,4586.09,14432.45,18014.42,20327.75,26013.12
g_0,5.52,5.45,11.19,9.45,10.56,41.79,812.72,1955.04,1676.28,2515.79,5945.32,3963.99,10522.85,12580.53,14923.39,20141.02
