,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,0.85,0.97,0.93,0.8,0.62,0.62,0.72,0.71,0.68,0.55,0.52,0.5,0.45,0.53
e_1,0.8,1.0,0.95,1.16,1.0,0.85,0.71,0.65,0.88,0.74,0.66,0.72,0.6,0.59,0.62,0.6
d_1,1.16,1.04,1.0,0.88,0.92,0.82,0.76,0.82,0.65,0.57,0.7,0.65,0.62,0.61,0.63,0.5
c_1,1.04,0.86,1.08,1.0,1.3,0.89,0.69,0.67,0.51,0.66,0.54,0.65,0.59,0.6,0.58,0.54
b_1,1.07,1.0,1.09,0.8,1.0,1.28,0.79,0.74,0.62,0.74,0.72,0.65,0.6,0.68,0.62,0.64
a_1,1.25,1.22,1.2,1.1,0.79,1.0,0.93,0.79,0.78,0.81,0.86,0.74,0.75,0.7,0.68,0.68
h_1,1.62,1.43,1.36,1.37,1.27,1.14,1.0,0.91,0.98,1.01,0.93,0.88,0.83,0.9,0.79,0.85
c_0,1.57,1.56,1.22,1.52,1.31,1.23,1.1,1.0,1.13,1.02,1.23,0.93,1.02,0.89,0.89,0.84
d_0,1.38,1.18,1.53,2.04,1.55,1.25,1.03,0.9,1.0,1.11,0.91,0.98,0.91,0.89,0.86,0.91
g_1,1.48,1.31,1.8,1.54,1.4,1.24,0.96,1.01,0.94,1.0,0.91,1.15,0.88,0.78,0.85,0.92
b_0,1.5,1.57,1.38,1.86,1.37,1.2,1.04,0.82,1.15,1.08,1.0,0.97,1.15,0.89,0.82,0.86
f_0,1.83,1.39,1.51,1.6,1.54,1.34,1.12,1.06,1.07,0.84,0.96,1.0,0.95,0.92,1.3,0.79
a_0,1.82,1.66,1.6,1.61,1.67,1.33,1.17,1.03,1.15,1.08,0.91,1.09,1.0,1.07,1.01,1.03
h_0,1.94,1.67,1.72,1.7,1.53,1.45,1.08,1.12,1.16,1.3,1.13,1.03,0.95,1.0,0.93,1.04
e_0,2.21,1.64,1.58,1.68,1.62,1.53,1.26,1.14,1.21,1.16,1.23,0.78,1.05,1.04,1.0,0.89
g_0,1.89,1.64,2.01,1.85,1.52,1.49,1.19,1.16,1.16,1.1,1.1,1.19,0.97,0.94,1.1,0.99
