,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.58,1.64,0.62,0.66,0.54,0.48,0.69,1.05,0.86,0.77,0.86,0.45,0.89,0.93,0.5,0.77
e_1,0.74,12.12,0.52,0.89,0.61,0.58,1.05,2.18,0.71,0.88,0.98,0.97,0.99,1.24,0.67,0.99
d_1,0.81,0.55,15.9,0.49,0.55,0.68,0.85,0.43,2.75,0.81,1.45,1.1,1.17,1.07,1.09,1.06
c_1,0.66,0.62,0.54,13.97,1.61,0.63,0.91,0.7,0.53,0.86,0.51,0.9,0.74,0.83,1.13,0.82
b_1,0.53,0.51,0.68,0.62,14.56,1.9,0.97,0.88,0.73,1.06,0.54,0.94,1.02,0.69,0.85,0.9
a_1,0.67,0.52,0.78,0.65,0.68,19.99,1.21,1.04,0.95,1.11,1.09,1.23,1.15,0.51,1.25,1.31
h_1,1.26,0.66,0.96,0.81,0.55,0.59,3.99,0.89,1.05,1.45,1.07,1.04,0.66,0.91,1.11,1.67
d_0,0.74,0.68,0.46,2.6,0.82,0.56,1.06,2.14,0.5,0.95,1.0,0.98,1.06,0.94,1.04,0.91
c_0,0.85,0.8,0.93,0.4,0.58,0.76,1.22,1.03,2.52,1.16,3.44,1.02,1.28,1.42,1.39,1.35
g_1,0.55,0.59,2.15,0.79,0.63,0.58,1.0,0.84,1.03,4.94,1.07,2.17,1.28,1.03,1.33,0.82
b_0,1.02,0.85,1.04,0.77,0.34,0.51,1.06,0.91,1.03,1.21,3.3,1.21,1.24,3.3,1.5,1.2
f_0,0.53,0.54,1.1,0.82,0.8,0.75,1.22,0.99,1.19,1.15,1.36,3.31,1.36,1.14,3.59,1.18
h_0,1.17,0.69,0.99,0.75,0.7,0.66,0.76,0.96,1.17,1.33,1.17,1.13,0.56,1.0,1.0,1.63
a_0,0.77,0.69,1.18,0.85,0.65,0.31,1.02,1.06,1.29,1.24,1.53,1.49,1.28,3.49,1.25,1.49
e_0,0.8,0.38,0.94,0.84,0.95,0.77,1.11,0.87,1.33,1.16,1.44,1.35,1.74,1.09,4.12,1.16
g_0,0.54,0.55,1.87,0.76,0.7,0.67,1.17,1.04,1.03,0.89,1.13,2.75,1.08,1.31,1.26,0.78
